	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
51	Surface 13	27116	9.665	173.888	-4.6	-579.692	-139.75	2.30413	12.5176	8.43264	-0.523749	1.26132	3.13586
52	Surface 13	27123	9.665	167.775	-4.6	-580.373	-139.337	3.6772	11.4701	8.28401	-1.1558	2.88118	3.11932
53	Surface 13	27127	9.665	161.663	-4.6	-581.78	-138.749	-0.343527	10.0567	8.06985	-1.73375	5.08065	2.95721
54	Surface 13	27396	9.665	-180.0	-3.68	-496.741	-109.956	-1.65434	14.6346	9.7071	0.117431	0.13461	0.768665
55	Surface 13	27402	9.665	173.888	-3.68	-497.189	-109.693	2.04216	14.4594	9.71984	-0.569714	1.21999	0.681351
56	Surface 13	27405	9.665	167.775	-3.68	-497.978	-109.381	3.07328	13.3391	9.57214	-1.21225	2.74083	0.674872
57	Surface 13	27410	9.665	161.663	-3.68	-499.44	-108.911	-1.62406	11.8494	9.37154	-1.80593	4.73388	0.535791
58	Surface 13	27617	9.665	-180.0	-2.76	-408.134	-81.864	-1.78918	16.2456	8.65295	0.092776	0.109889	-1.58823
59	Surface 13	27622	9.665	173.888	-2.76	-408.656	-81.6459	1.68708	16.0267	8.65414	-0.62091	1.16613	-1.67762
60	Surface 13	27626	9.665	167.775	-2.76	-409.54	-81.4251	2.3794	14.8363	8.52362	-1.28913	2.56486	-1.65871
61	Surface 13	27630	9.665	161.663	-2.76	-411.02	-81.0185	-2.99948	13.2737	8.36095	-1.91018	4.32646	-1.76177
62	Surface 13	27836	9.665	-180.0	-1.84	-314.667	-54.4288	-2.05532	17.6346	5.97912	0.0867123	0.0877492	-2.66152
63	Surface 13	27842	9.665	173.888	-1.84	-315.229	-54.0482	1.28576	17.3736	5.97664	-0.685871	1.09093	-2.73234
64	Surface 13	27846	9.665	167.775	-1.84	-316.18	-54.1779	1.68179	16.1136	5.88635	-1.40582	2.34433	-2.69411
65	Surface 13	27851	9.665	161.663	-1.84	-317.455	-53.7303	-4.36195	14.482	5.80205	-2.07067	3.85293	-2.74702
66	Surface 13	28057	9.665	-180.0	-0.92	-218.895	-27.1139	-1.94058	19.0438	2.88375	0.0745027	0.0288864	-2.60752
67	Surface 13	28061	9.665	173.888	-0.92	-219.64	-26.842	0.765086	18.7404	2.88382	-0.624626	1.01583	-2.66895
68	Surface 13	28065	9.665	167.775	-0.92	-220.059	-26.9971	0.950533	17.4071	2.84479	-1.2761	2.12641	-2.629
69	Surface 13	28071	9.665	161.663	-0.92	-221.32	-26.7425	-4.92111	15.7017	2.83545	-1.88167	3.30727	-2.70027
70	Surface 13	28275	9.665	-180.0	0.0	-125.4	-4.29517	-1.59408	20.1647	1.46141	0.0650753	-0.282771	-2.27608
71	Surface 13	28282	9.665	173.888	0.0	-124.075	-3.85892	0.413875	19.8634	1.46622	-0.559424	2.80503	-2.35649
72	Surface 13	28286	9.665	167.775	0.0	-126.962	-4.34565	0.478027	18.4932	1.45301	-1.13694	5.74587	-2.30487
73	Surface 13	28291	9.665	161.663	0.0	-125.418	-3.76154	-4.63831	16.7779	1.47334	-1.69213	8.35521	-2.42397
74	Surface 14	27096	9.665	-172.251	-4.6	-580.019	-140.335	1.93411	11.8816	8.21954	1.05067	-2.51869	3.21056
75	Surface 14	27108	9.665	-180.0	-4.6	-579.295	-140.109	-1.61421	12.6523	8.4132	0.153158	0.16919	3.21511
76	Surface 14	27389	9.665	-172.251	-3.68	-497.397	-110.041	2.79583	13.8695	9.52966	1.03997	-2.33346	0.800785
77	Surface 14	27396	9.665	-180.0	-3.68	-496.741	-109.956	-1.65434	14.6346	9.7071	0.117431	0.13461	0.768665
78	Surface 14	27610	9.665	-172.251	-2.76	-408.634	-81.8763	3.54864	15.4957	8.52088	1.05407	-2.09814	-1.52245
79	Surface 14	27617	9.665	-180.0	-2.76	-408.134	-81.864	-1.78918	16.2456	8.65295	0.092776	0.109889	-1.58823
80	Surface 14	27830	9.665	-172.251	-1.84	-314.8	-54.4355	4.05363	16.9038	5.91342	1.11393	-1.81995	-2.58709
81	Surface 14	27836	9.665	-180.0	-1.84	-314.667	-54.4288	-2.05532	17.6346	5.97912	0.0867123	0.0877492	-2.66152
82	Surface 14	28051	9.665	-172.251	-0.92	-218.539	-27.121	3.49539	18.3248	2.86918	1.00364	-1.52219	-2.5728
83	Surface 14	28057	9.665	-180.0	-0.92	-218.895	-27.1139	-1.94058	19.0438	2.88375	0.0745027	0.0288864	-2.60752
84	Surface 14	28271	9.665	-172.251	0.0	-124.615	-4.259	2.6675	19.4528	1.46267	0.891556	-4.26975	-2.27513
85	Surface 14	28275	9.665	-180.0	0.0	-125.4	-4.29517	-1.59408	20.1647	1.46141	0.0650753	-0.282771	-2.27608
86	Surface 15	27087	9.665	-166.683	-4.6	-581.765	-140.479	-2.11618	10.4633	7.93341	1.65497	-5.10437	3.15895
87	Surface 15	27096	9.665	-172.251	-4.6	-580.019	-140.335	1.93411	11.8816	8.21954	1.05067	-2.51869	3.21056
88	Surface 15	27383	9.665	-166.683	-3.68	-499.083	-110.034	-1.03852	12.419	9.25336	1.66204	-4.70671	0.789455
89	Surface 15	27389	9.665	-172.251	-3.68	-497.397	-110.041	2.79583	13.8695	9.52966	1.03997	-2.33346	0.800785
90	Surface 15	27605	9.665	-166.683	-2.76	-410.109	-81.6772	4.55003E-3	14.0257	8.28855	1.70028	-4.22223	-1.48717
91	Surface 15	27610	9.665	-172.251	-2.76	-408.634	-81.8763	3.54864	15.4957	8.52088	1.05407	-2.09814	-1.52245
