	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
83	Surface 14	28057	9.665	-180.0	-0.92	-225.009	-27.6646	-3.78524	9.91057	2.42939	0.813457	-0.457348	-2.48679
84	Surface 14	28271	9.665	-172.251	0.0	-132.54	-4.40728	1.49494	9.74352	1.19504	1.09357	-5.14746	-2.11617
85	Surface 14	28275	9.665	-180.0	0.0	-129.748	-4.32387	-2.45668	10.9505	1.2278	0.677673	-2.74349	-2.0706
86	Surface 15	27087	9.665	-166.683	-4.6	-584.836	-141.549	-6.97353	4.0844	8.05851	0.971904	-4.03437	2.02611
87	Surface 15	27096	9.665	-172.251	-4.6	-583.759	-142.419	-3.22534	4.89637	8.00134	0.996662	-1.85125	2.23029
88	Surface 15	27383	9.665	-166.683	-3.68	-503.789	-111.468	-6.49639	5.16065	8.97497	1.17015	-3.82839	-0.347228
89	Surface 15	27389	9.665	-172.251	-3.68	-502.366	-112.043	-2.55609	6.16039	8.97463	1.16236	-1.87362	-0.116389
90	Surface 15	27605	9.665	-166.683	-2.76	-416.859	-83.0515	-5.50288	5.91664	7.67598	1.34244	-3.6059	-2.46545
91	Surface 15	27610	9.665	-172.251	-2.76	-415.011	-83.5058	-1.52128	7.10723	7.73806	1.29293	-1.88386	-2.24456
92	Surface 15	27823	9.665	-166.683	-1.84	-324.895	-55.0251	-4.00875	6.52481	5.05606	1.50017	-3.31632	-3.11153
93	Surface 15	27830	9.665	-172.251	-1.84	-322.563	-55.5127	-0.0960654	7.89952	5.1429	1.40186	-1.84944	-2.95978
94	Surface 15	28043	9.665	-166.683	-0.92	-229.617	-27.348	-2.04025	7.2039	2.32408	1.36059	-2.9434	-2.65021
95	Surface 15	28051	9.665	-172.251	-0.92	-227.178	-27.6763	1.09123	8.7578	2.37973	1.24719	-1.72533	-2.57166
96	Surface 15	28265	9.665	-166.683	0.0	-133.517	-4.03696	-0.87523	8.15584	1.17751	1.21299	-6.55874	-2.17848
97	Surface 15	28271	9.665	-172.251	0.0	-132.54	-4.40728	1.49494	9.74352	1.19504	1.09357	-5.14746	-2.11617
98	Surface 17	27058	9.665	-159.181	-4.6	-586.188	-139.586	-9.67536	2.49747	8.06339	0.756044	-0.520475	1.78686
99	Surface 17	27069	9.665	-160.983	-4.6	-586.26	-140.15	-10.3339	2.89791	8.06245	0.804667	-1.77906	1.82997
100	Surface 17	27365	9.665	-159.181	-3.68	-505.685	-110.228	-9.59872	3.29889	8.93617	0.989766	-0.815898	-0.653587
101	Surface 17	27372	9.665	-160.983	-3.68	-505.594	-110.572	-10.2343	3.75909	8.93853	1.03161	-1.90932	-0.596427
102	Surface 17	27586	9.665	-159.181	-2.76	-419.527	-82.2472	-8.89761	3.76431	7.56763	1.21995	-1.17003	-2.7907
103	Surface 17	27591	9.665	-160.983	-2.76	-419.263	-82.46	-9.50814	4.28908	7.58272	1.24921	-2.07561	-2.73238
104	Surface 17	27807	9.665	-159.181	-1.84	-328.571	-54.3851	-7.32462	4.08883	4.91597	1.43901	-1.53636	-3.37072
105	Surface 17	27813	9.665	-160.983	-1.84	-327.782	-54.5101	-7.99402	4.679	4.93674	1.45701	-2.23357	-3.33872
106	Surface 17	28026	9.665	-159.181	-0.92	-234.158	-26.9943	-4.68898	4.47288	2.21403	1.35042	-1.83114	-2.79961
107	Surface 17	28031	9.665	-160.983	-0.92	-233.652	-27.1977	-5.56127	5.13086	2.22209	1.35267	-2.29834	-2.8188
108	Surface 17	28245	9.665	-159.181	0.0	-135.466	-3.38555	-2.91917	5.37348	1.11431	1.24989	-6.24254	-2.27556
109	Surface 17	28253	9.665	-160.983	0.0	-132.575	-3.09936	-4.17077	6.0356	1.10612	1.26753	-6.55024	-2.32455
110	Surface 24	27063	9.665	-20.819	-4.6	-587.858	-149.31	13.0373	0.821754	7.2192	-3.05584	1.51479	2.09863
111	Surface 24	27071	9.665	-19.0166	-4.6	-587.796	-148.575	13.2202	1.51109	7.24373	-3.02936	2.77906	2.18399
112	Surface 24	27370	9.665	-20.819	-3.68	-506.801	-118.079	12.6125	1.95079	8.21236	-3.32442	1.92505	-0.228508
113	Surface 24	27375	9.665	-19.0166	-3.68	-506.614	-117.121	12.6734	2.72849	8.25186	-3.28212	3.02217	-0.13122
114	Surface 24	27589	9.665	-20.819	-2.76	-420.011	-87.757	11.5044	2.79414	7.0334	-3.57958	2.42156	-2.28211
115	Surface 24	27594	9.665	-19.0166	-2.76	-419.535	-86.8625	11.348	3.67209	7.09589	-3.51521	3.31801	-2.1822
116	Surface 24	27810	9.665	-20.819	-1.84	-327.618	-57.3478	8.71582	3.55843	4.61062	-3.82346	2.94876	-2.8124
117	Surface 24	27814	9.665	-19.0166	-1.84	-326.14	-56.7792	8.61913	4.53866	4.68111	-3.74327	3.58112	-2.76473
118	Surface 24	28029	9.665	-20.819	-0.92	-227.926	-28.0512	4.48569	4.45713	2.11745	-3.3738	3.22911	-2.37513
119	Surface 24	28036	9.665	-19.0166	-0.92	-226.864	-27.9744	5.00917	5.52678	2.15561	-3.28942	3.58428	-2.42441
