	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
47	Surface 12	28076	9.665	159.181	-0.92	-557.632	-26.6656	0.438235	3.48662	2.71048	-1.28987	3.63126	-2.91249
48	Surface 12	28291	9.665	161.663	0.0	-462.537	-3.97765	-4.66589	5.29736	1.40176	-1.08238	7.3189	-2.48986
49	Surface 12	28296	9.665	159.181	0.0	-460.217	-3.38479	0.489596	4.47942	1.37606	-1.15899	7.23991	-2.49448
50	Surface 13	27108	9.665	-180.0	-4.6	-892.124	-139.47	-2.23807	1.29122	7.14394	-8.55494E-3	0.64272	4.20683
51	Surface 13	27116	9.665	173.888	-4.6	-892.792	-139.314	0.823893	1.15087	7.11412	-0.392043	1.4642	4.16784
52	Surface 13	27123	9.665	167.775	-4.6	-893.394	-139.077	1.75042	0.516332	6.99283	-0.765479	3.21157	4.18933
53	Surface 13	27127	9.665	161.663	-4.6	-894.874	-138.631	-2.03431	-0.328432	6.83773	-1.13144	6.03846	4.08975
54	Surface 13	27396	9.665	-180.0	-3.68	-817.58	-109.684	-2.41857	3.03634	9.39861	-8.02365E-3	0.581796	1.14997
55	Surface 13	27402	9.665	173.888	-3.68	-818.223	-109.529	0.641124	2.8892	9.37373	-0.397914	1.3909	1.11324
56	Surface 13	27405	9.665	167.775	-3.68	-818.844	-109.312	1.37971	2.22304	9.26314	-0.780104	3.04755	1.14877
57	Surface 13	27410	9.665	161.663	-3.68	-820.32	-108.91	-3.03622	1.34062	9.12603	-1.16127	5.68926	1.06575
58	Surface 13	27617	9.665	-180.0	-2.76	-735.651	-81.8521	-2.6051	4.29278	8.65292	-7.52038E-3	0.517191	-1.91128
59	Surface 13	27622	9.665	173.888	-2.76	-736.242	-81.6766	0.460896	4.13863	8.63416	-0.415392	1.30026	-1.94778
60	Surface 13	27626	9.665	167.775	-2.76	-736.842	-81.4975	1.00309	3.44405	8.5496	-0.81586	2.84782	-1.89026
61	Surface 13	27630	9.665	161.663	-2.76	-738.255	-81.1161	-4.09584	2.52619	8.44759	-1.21863	5.28017	-1.95288
62	Surface 13	27836	9.665	-180.0	-1.84	-647.389	-54.5472	-2.77995	5.25968	5.9116	-4.68022E-3	0.450013	-3.12016
63	Surface 13	27842	9.665	173.888	-1.84	-647.833	-54.1748	0.353105	5.10006	5.90467	-0.451342	1.19147	-3.14888
64	Surface 13	27846	9.665	167.775	-1.84	-648.362	-54.3139	0.719358	4.37561	5.85966	-0.885804	2.61074	-3.08528
65	Surface 13	27851	9.665	161.663	-1.84	-649.479	-53.8717	-5.06025	3.42454	5.81798	-1.31767	4.8126	-3.12222
66	Surface 13	28057	9.665	-180.0	-0.92	-555.386	-27.2537	-2.38075	6.24402	2.76671	-6.21974E-3	0.354692	-2.83796
67	Surface 13	28061	9.665	173.888	-0.92	-555.775	-26.983	0.258626	6.07489	2.76909	-0.410592	1.09308	-2.87858
68	Surface 13	28065	9.665	167.775	-0.92	-555.63	-27.1321	0.478204	5.31752	2.75862	-0.805055	2.38446	-2.83539
69	Surface 13	28071	9.665	161.663	-0.92	-556.653	-26.8753	-5.19102	4.32455	2.76557	-1.2035	4.27974	-2.90863
