	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
118	Surface 24	28029	9.665	-20.819	-0.92	-580.318	-26.6885	4.19022	-7.7481	2.16192	0.491365	-2.04094	-2.57679
119	Surface 24	28036	9.665	-19.0166	-0.92	-580.127	-26.8907	5.17477	-8.19442	2.1371	0.500171	-0.746417	-2.58932
120	Surface 24	28248	9.665	-20.819	0.0	-480.771	-3.13619	2.74655	-6.78128	1.11855	0.506909	-3.69075	-2.17339
121	Surface 24	28255	9.665	-19.0166	0.0	-478.453	-2.85787	4.09455	-7.23716	1.11392	0.538025	-2.57961	-2.19078
122	Surface 26	27090	9.665	-13.3169	-4.6	-913.46	-139.428	11.9454	-13.0755	4.31263	0.354518	3.47015	3.8686
123	Surface 26	27104	9.665	-7.74887	-4.6	-909.871	-140.099	8.95916	-14.5173	3.9732	0.252176	0.777859	3.86732
124	Surface 26	27388	9.665	-13.3169	-3.68	-839.545	-109.66	9.35632	-11.7904	6.77457	0.342907	3.09932	0.996982
125	Surface 26	27394	9.665	-7.74887	-3.68	-836.031	-110.231	6.33425	-13.2373	6.45919	0.242894	0.624269	1.012
126	Surface 26	27606	9.665	-13.3169	-2.76	-758.042	-81.7812	6.84685	-10.9635	6.43343	0.360267	2.7014	-1.82713
127	Surface 26	27612	9.665	-7.74887	-2.76	-754.655	-82.3346	3.79611	-12.4137	6.15865	0.256561	0.463769	-1.79323
128	Surface 26	27827	9.665	-13.3169	-1.84	-669.594	-54.347	4.46351	-10.4005	4.35797	0.420879	2.27439	-2.77194
129	Surface 26	27833	9.665	-7.74887	-1.84	-666.378	-54.9526	1.33347	-11.8528	4.14113	0.303558	0.304767	-2.7172
130	Surface 26	28046	9.665	-13.3169	-0.92	-576.04	-27.137	2.19515	-9.8538	1.99866	0.420563	1.83899	-2.43352
131	Surface 26	28053	9.665	-7.74887	-0.92	-573.37	-27.5452	-0.490449	-11.2975	1.87746	0.296668	0.13733	-2.32856
132	Surface 26	28268	9.665	-13.3169	0.0	-480.037	-3.93621	1.04991	-8.92721	1.01951	0.437174	-0.169863	-2.01296
133	Surface 26	28272	9.665	-7.74887	0.0	-479.171	-4.36632	-1.11454	-10.38	0.957462	0.306564	-1.13187	-1.86402
134	Surface 27	27104	9.665	-7.74887	-4.6	-909.871	-140.099	8.95916	-14.5173	3.9732	0.252176	0.777859	3.86732
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-907.127	-140.799	12.4686	-15.7119	3.69145	0.215452	-1.48529	3.90418
136	Surface 27	27394	9.665	-7.74887	-3.68	-836.031	-110.231	6.33425	-13.2373	6.45919	0.242894	0.624269	1.012
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-833.318	-110.795	10.5961	-14.4387	6.20221	0.21759	-1.42158	1.05624
138	Surface 27	27612	9.665	-7.74887	-2.76	-754.655	-82.3346	3.79611	-12.4137	6.15865	0.256561	0.463769	-1.79323
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-751.975	-82.7577	8.81904	-13.621	5.93945	0.235787	-1.34474	-1.73855
