	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
62	Surface 13	27836	9.665	-180.0	-1.84	-647.669	-54.5908	-2.91052	4.81592	5.86869	0.0690822	0.413647	-3.12081
63	Surface 13	27842	9.665	173.888	-1.84	-648.042	-54.2119	0.249721	4.70555	5.86703	-0.360325	1.14211	-3.14434
64	Surface 13	27846	9.665	167.775	-1.84	-648.509	-54.3456	0.639143	4.04038	5.82854	-0.783425	2.55243	-3.07727
65	Surface 13	27851	9.665	161.663	-1.84	-649.577	-53.8984	-5.12616	3.14553	5.79211	-1.20896	4.74839	-3.11282
66	Surface 13	28057	9.665	-180.0	-0.92	-555.643	-27.2759	-2.44845	5.78313	2.74301	0.0564281	0.313729	-2.82898
67	Surface 13	28061	9.665	173.888	-0.92	-555.943	-27.0013	0.210122	5.66939	2.74908	-0.332699	1.04072	-2.86843
68	Surface 13	28065	9.665	167.775	-0.92	-555.724	-27.1475	0.444579	4.9764	2.74275	-0.717149	2.3241	-2.82498
69	Surface 13	28071	9.665	161.663	-0.92	-556.693	-26.8883	-5.21885	4.04328	2.75244	-1.1099	4.21421	-2.89911
70	Surface 13	28275	9.665	-180.0	0.0	-464.196	-4.54753	-1.83728	6.76236	1.35834	0.0467405	0.0829913	-2.32417
71	Surface 13	28282	9.665	173.888	0.0	-462.186	-4.09185	0.168569	6.66528	1.36793	-0.298857	1.96224	-2.39696
72	Surface 13	28286	9.665	167.775	0.0	-464.296	-4.55384	0.28176	5.94744	1.37071	-0.640338	4.28232	-2.35577
73	Surface 13	28291	9.665	161.663	0.0	-462.464	-3.97054	-4.67351	5.01721	1.39547	-1.00284	6.99076	-2.48191
74	Surface 14	27096	9.665	-172.251	-4.6	-892.765	-139.385	1.25956	0.558266	7.05074	0.54804	-2.66094	4.14297
75	Surface 14	27108	9.665	-180.0	-4.6	-892.334	-139.581	-2.46687	0.910933	7.09737	0.0536454	0.632028	4.17612
76	Surface 14	27389	9.665	-172.251	-3.68	-818.284	-109.603	1.80907	2.25421	9.29717	0.573287	-2.52059	1.10069
77	Surface 14	27396	9.665	-180.0	-3.68	-817.82	-109.776	-2.62858	2.63231	9.34493	0.0598204	0.561744	1.12613
78	Surface 14	27610	9.665	-172.251	-2.76	-736.403	-81.7925	2.39651	3.46605	8.55966	0.607664	-2.3523	-1.93773
79	Surface 14	27617	9.665	-180.0	-2.76	-735.918	-81.9208	-2.78326	3.8676	8.59938	0.0639596	0.488119	-1.92493
80	Surface 14	27830	9.665	-172.251	-1.84	-648.063	-54.5297	2.92878	4.39184	5.8487	0.660022	-2.15498	-3.12556
81	Surface 14	27836	9.665	-180.0	-1.84	-647.669	-54.5908	-2.91052	4.81592	5.86869	0.0690822	0.413647	-3.12081
82	Surface 14	28051	9.665	-172.251	-0.92	-555.937	-27.2574	2.72829	5.3317	2.7393	0.604436	-1.92532	-2.84334
