	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
200	Line 25211	3129	8.9	-142.018	-65.7	-91.5059	-128.681	378.061	0.0	55.332	-0.620862E-3
201	Line 25211	3111	8.9	-139.878	-65.7	-25.2168	-36.648	326.065	0.0	16.5272	0.197852E-3
202	Line 25211	3097	9.665	-142.018	-65.7	-91.5059	-128.681	378.061	0.0	55.332	-0.620862E-3
203	Line 25211	3075	9.665	-139.878	-65.7	-25.2168	-36.648	326.065	0.0	16.5272	0.197852E-3
204	Line 25212	4058	8.9	117.682	-65.7	34.394	100.168	135.359	0.0	8.07557	-85.7359E-6
205	Line 25212	4037	8.9	123.231	-65.7	-10.171	176.953	349.955	0.0	45.7026	0.813848E-3
206	Line 25212	4100	9.665	117.682	-65.7	34.394	100.168	135.359	0.0	8.07557	-85.7359E-6
207	Line 25212	4067	9.665	123.231	-65.7	-10.171	176.953	349.955	0.0	45.7026	0.813848E-3
208	Line 25212	4014	8.9	128.78	-65.7	-69.9368	181.523	416.283	0.0	64.7346	-0.169713E-3
209	Line 25212	4041	9.665	128.78	-65.7	-69.9368	181.523	416.283	0.0	64.7346	-0.169713E-3
210	Line 25212	3986	8.9	134.329	-65.7	-112.827	191.414	498.904	0.0	79.7265	1.08616E-3
211	Line 25212	3941	8.9	139.878	-65.7	-59.1666	130.008	261.113	0.0	-2.25732	0.973518E-6
212	Line 25212	4008	9.665	134.329	-65.7	-112.827	191.414	498.904	0.0	79.7265	1.08616E-3
213	Line 25212	3973	9.665	139.878	-65.7	-59.1666	130.008	261.113	0.0	-2.25732	0.973518E-6
214	Line 25213	3941	8.9	139.878	-65.7	-59.1666	130.008	261.113	0.0	-2.25732	0.973518E-6
215	Line 25213	3926	8.9	142.018	-65.7	-111.39	217.605	341.581	0.0	36.1605	1.31403E-3
216	Line 25213	3973	9.665	139.878	-65.7	-59.1666	130.008	261.113	0.0	-2.25732	0.973518E-6
217	Line 25213	3952	9.665	142.018	-65.7	-111.39	217.605	341.581	0.0	36.1605	1.31403E-3
218	Line 25214	2942	8.9	-78.9947	-65.7	-15.4826	-47.2683	238.253	0.0	71.3408	0.479003E-3
