	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
78	Surface 14	27610	9.665	-172.251	-2.76	-419.266	-81.1866	2.88316	-3.24183	6.15408	0.412878	-1.76223	-1.77287
79	Surface 14	27617	9.665	-180.0	-2.76	-418.657	-81.3396	-3.31832	-2.30905	6.2563	0.294075	-0.428757	-1.79582
80	Surface 14	27830	9.665	-172.251	-1.84	-326.646	-54.3346	3.34696	-2.52213	4.14619	0.481748	-1.52671	-2.49647
81	Surface 14	27836	9.665	-180.0	-1.84	-326.192	-54.4022	-3.2085	-1.57608	4.2001	0.347875	-0.482584	-2.52582
82	Surface 14	28051	9.665	-172.251	-0.92	-230.953	-27.2587	3.00404	-1.79331	1.92893	0.475268	-1.26138	-2.21578
83	Surface 14	28057	9.665	-180.0	-0.92	-230.701	-27.2746	-2.57162	-0.826215	1.9452	0.33135	-0.564945	-2.22127
84	Surface 14	28271	9.665	-172.251	0.0	-135.796	-4.18719	2.38514	-0.826961	1.00021	0.456742	-2.62636	-1.85023
85	Surface 14	28275	9.665	-180.0	0.0	-135.638	-4.19366	-1.88533	0.147427	1.00451	0.314406	-1.70797	-1.83393
86	Surface 15	27087	9.665	-166.683	-4.6	-589.317	-136.948	-0.523592	-6.20204	5.27877	0.326081	-3.98848	2.60061
87	Surface 15	27096	9.665	-172.251	-4.6	-588.106	-137.225	1.74963	-5.41114	5.41792	0.348435	-2.15691	2.60523
88	Surface 15	27383	9.665	-166.683	-3.68	-507.859	-108.074	-0.120682	-4.96183	6.72971	0.347262	-3.55953	0.327001
89	Surface 15	27389	9.665	-172.251	-3.68	-506.695	-108.362	2.32403	-4.15293	6.85679	0.372241	-1.97296	0.322642
90	Surface 15	27605	9.665	-166.683	-2.76	-420.311	-80.8215	0.299305	-4.0669	6.04919	0.385606	-3.08361	-1.75583
91	Surface 15	27610	9.665	-172.251	-2.76	-419.266	-81.1866	2.88316	-3.24183	6.15408	0.412878	-1.76223	-1.77287
92	Surface 15	27823	9.665	-166.683	-1.84	-327.458	-53.835	0.57089	-3.36211	4.08252	0.454126	-2.55183	-2.45981
93	Surface 15	27830	9.665	-172.251	-1.84	-326.646	-54.3346	3.34696	-2.52213	4.14619	0.481748	-1.52671	-2.49647
94	Surface 15	28043	9.665	-166.683	-0.92	-231.0	-26.9074	0.533675	-2.65801	1.90991	0.446364	-1.99922	-2.20786
95	Surface 15	28051	9.665	-172.251	-0.92	-230.953	-27.2587	3.00404	-1.79331	1.92893	0.475268	-1.26138	-2.21578
96	Surface 15	28265	9.665	-166.683	0.0	-133.511	-3.72938	0.345299	-1.67023	1.00646	0.424962	-2.98895	-1.88905
97	Surface 15	28271	9.665	-172.251	0.0	-135.796	-4.18719	2.38514	-0.826961	1.00021	0.456742	-2.62636	-1.85023
98	Surface 17	27058	9.665	-159.181	-4.6	-590.971	-136.637	-2.01849	-7.20868	5.10305	0.323808	-0.0470045	2.56169
99	Surface 17	27069	9.665	-160.983	-4.6	-590.946	-136.696	-2.81676	-7.0002	5.13797	0.310097	-1.37948	2.52072
100	Surface 17	27365	9.665	-159.181	-3.68	-509.441	-107.774	-1.79936	-5.99323	6.57028	0.344325	-0.143025	0.296296
101	Surface 17	27372	9.665	-160.983	-3.68	-509.394	-107.819	-2.64524	-5.77951	6.60033	0.330122	-1.29843	0.248965
102	Surface 17	27586	9.665	-159.181	-2.76	-421.743	-80.45	-1.59103	-5.12183	5.91893	0.381995	-0.23813	-1.77548
103	Surface 17	27591	9.665	-160.983	-2.76	-421.747	-80.5128	-2.45846	-4.90371	5.94209	0.367395	-1.20053	-1.82841
104	Surface 17	27807	9.665	-159.181	-1.84	-328.634	-53.3155	-1.3798	-4.43694	4.00401	0.443196	-0.334982	-2.46408
105	Surface 17	27813	9.665	-160.983	-1.84	-328.42	-53.3802	-2.30892	-4.21341	4.01578	0.430617	-1.08826	-2.52494
106	Surface 17	28026	9.665	-159.181	-0.92	-231.455	-26.5427	-1.23423	-3.77573	1.87747	0.427943	-0.424886	-2.23872
107	Surface 17	28031	9.665	-160.983	-0.92	-231.951	-26.7128	-2.27722	-3.54276	1.87664	0.416141	-0.948964	-2.30267
