	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
62	Surface 13	27836	9.665	-180.0	-1.84	-201.271	-54.5436	-2.90243	9.65646	4.91931	-0.0301223	0.100377	-2.44033
63	Surface 13	27842	9.665	173.888	-1.84	-201.448	-54.1806	0.364038	9.48831	4.91004	-0.456503	0.637655	-2.4736
64	Surface 13	27846	9.665	167.775	-1.84	-201.84	-54.3135	0.694696	8.7833	4.86549	-0.87149	1.3532	-2.40731
65	Surface 13	27851	9.665	161.663	-1.84	-202.423	-53.8768	-5.50212	7.87753	4.82343	-1.28931	2.2547	-2.44925
66	Surface 13	28057	9.665	-180.0	-0.92	-104.45	-27.2469	-2.47511	10.7961	2.34808	-0.0283384	1.53841E-3	-2.29871
67	Surface 13	28061	9.665	173.888	-0.92	-104.583	-26.9727	0.270671	10.6159	2.34887	-0.413992	0.534428	-2.34157
68	Surface 13	28065	9.665	167.775	-0.92	-104.278	-27.1239	0.477795	9.8767	2.33851	-0.790079	1.11466	-2.29706
69	Surface 13	28071	9.665	161.663	-0.92	-104.775	-26.8698	-5.49255	8.92784	2.34464	-1.17444	1.69376	-2.37452
70	Surface 13	28275	9.665	-180.0	0.0	-9.15749	-4.16843	-1.88468	11.8725	1.21065	-0.025017	2.81819E-3	-1.98519
71	Surface 13	28282	9.665	173.888	0.0	-6.90345	-3.69233	0.195081	11.7074	1.21785	-0.366962	1.67455	-2.0582
72	Surface 13	28286	9.665	167.775	0.0	-9.03947	-4.18116	0.301293	10.9406	1.21799	-0.699937	3.2574	-2.01586
73	Surface 13	28291	9.665	161.663	0.0	-6.63891	-3.58557	-4.89048	9.99436	1.24125	-1.05463	4.61258	-2.14494
74	Surface 14	27096	9.665	-172.251	-4.6	-470.738	-138.928	2.13355	5.29974	7.07489	0.495557	-1.60616	2.50092
75	Surface 14	27108	9.665	-180.0	-4.6	-470.432	-139.105	-2.46632	5.62096	7.13586	-0.0288843	0.301423	2.51678
76	Surface 14	27389	9.665	-172.251	-3.68	-386.165	-109.384	2.60265	6.90596	8.12798	0.507105	-1.42704	0.334959
77	Surface 14	27396	9.665	-180.0	-3.68	-385.857	-109.554	-2.61331	7.23971	8.18348	-0.0311235	0.236642	0.341464
78	Surface 14	27610	9.665	-172.251	-2.76	-296.08	-81.6859	3.05834	8.19325	7.16495	0.530501	-1.22305	-1.6245
79	Surface 14	27617	9.665	-180.0	-2.76	-295.789	-81.8171	-2.7552	8.53752	7.20536	-0.0320986	0.169478	-1.62976
80	Surface 14	27830	9.665	-172.251	-1.84	-201.424	-54.4809	3.432	9.30178	4.90337	0.57506	-0.995717	-2.43223
81	Surface 14	27836	9.665	-180.0	-1.84	-201.271	-54.5436	-2.90243	9.65646	4.91931	-0.0301223	0.100377	-2.44033
82	Surface 14	28051	9.665	-172.251	-0.92	-104.453	-27.2276	3.02812	10.4249	2.3489	0.530172	-0.743201	-2.30855
83	Surface 14	28057	9.665	-180.0	-0.92	-104.45	-27.2469	-2.47511	10.7961	2.34808	-0.0283384	1.53841E-3	-2.29871
84	Surface 14	28271	9.665	-172.251	0.0	-9.18519	-4.17251	2.39026	11.4946	1.21512	0.478266	-2.13116	-2.01025
85	Surface 14	28275	9.665	-180.0	0.0	-9.15749	-4.16843	-1.88468	11.8725	1.21065	-0.025017	2.81819E-3	-1.98519
86	Surface 15	27087	9.665	-166.683	-4.6	-471.755	-138.628	-1.06224	4.63481	6.94888	0.798817	-3.46833	2.47242
87	Surface 15	27096	9.665	-172.251	-4.6	-470.738	-138.928	2.13355	5.29974	7.07489	0.495557	-1.60616	2.50092
88	Surface 15	27383	9.665	-166.683	-3.68	-387.141	-109.078	-0.598377	6.21038	8.00947	0.81512	-3.04527	0.3177
89	Surface 15	27389	9.665	-172.251	-3.68	-386.165	-109.384	2.60265	6.90596	8.12798	0.507105	-1.42704	0.334959
90	Surface 15	27605	9.665	-166.683	-2.76	-296.953	-81.3105	-0.0911272	7.46965	7.06572	0.850372	-2.5741	-1.6247
91	Surface 15	27610	9.665	-172.251	-2.76	-296.08	-81.6859	3.05834	8.19325	7.16495	0.530501	-1.22305	-1.6245
92	Surface 15	27823	9.665	-166.683	-1.84	-202.094	-53.9772	0.304159	8.55261	4.84483	0.920478	-2.04405	-2.40652
93	Surface 15	27830	9.665	-172.251	-1.84	-201.424	-54.4809	3.432	9.30178	4.90337	0.57506	-0.995717	-2.43223
94	Surface 15	28043	9.665	-166.683	-0.92	-104.407	-26.8734	0.416707	9.64394	2.3349	0.839452	-1.4996	-2.30669
95	Surface 15	28051	9.665	-172.251	-0.92	-104.453	-27.2276	3.02812	10.4249	2.3489	0.530172	-0.743201	-2.30855
96	Surface 15	28265	9.665	-166.683	0.0	-6.88382	-3.71937	0.315795	10.7309	1.22556	0.749161	-3.54613	-2.0535
97	Surface 15	28271	9.665	-172.251	0.0	-9.18519	-4.17251	2.39026	11.4946	1.21512	0.478266	-2.13116	-2.01025
98	Surface 17	27058	9.665	-159.181	-4.6	-473.427	-138.184	-3.67995	3.18007	6.67813	1.19985	-0.855998	2.38784
99	Surface 17	27069	9.665	-160.983	-4.6	-473.304	-138.287	-4.294	3.56924	6.74783	1.097	-1.81818	2.35894
100	Surface 17	27365	9.665	-159.181	-3.68	-388.783	-108.695	-3.19104	4.69092	7.7553	1.22588	-0.990759	0.249062
101	Surface 17	27372	9.665	-160.983	-3.68	-388.621	-108.768	-3.89153	5.09688	7.81934	1.12059	-1.76704	0.211206
102	Surface 17	27586	9.665	-159.181	-2.76	-298.501	-80.8953	-2.65951	5.88844	6.84946	1.27995	-1.11532	-1.66947
103	Surface 17	27591	9.665	-160.983	-2.76	-298.371	-80.974	-3.42253	6.31023	6.9032	1.17027	-1.69169	-1.71706
104	Surface 17	27807	9.665	-159.181	-1.84	-203.451	-53.4429	-2.0629	6.91547	4.70225	1.37689	-1.22566	-2.41763
105	Surface 17	27813	9.665	-160.983	-1.84	-203.087	-53.5156	-2.93107	7.35229	4.73638	1.26244	-1.58936	-2.47943
106	Surface 17	28026	9.665	-159.181	-0.92	-105.106	-26.5083	-1.51106	7.93352	2.2719	1.24686	-1.31647	-2.32876
107	Surface 17	28031	9.665	-160.983	-0.92	-105.427	-26.6826	-2.53231	8.39318	2.28353	1.14255	-1.45351	-2.39817
108	Surface 17	28245	9.665	-159.181	0.0	-3.20846	-2.84634	-1.28875	9.0484	1.20902	1.11527	-5.21075	-2.10396
109	Surface 17	28253	9.665	-160.983	0.0	-1.56299	-2.56511	-2.68378	9.49462	1.20616	1.03707	-4.90209	-2.17317
110	Surface 24	27063	9.665	-20.819	-4.6	-473.384	-138.189	3.6602	3.2657	6.68929	-1.20142	0.838686	2.38595
111	Surface 24	27071	9.665	-19.0166	-4.6	-473.263	-138.292	4.27312	3.64984	6.75819	-1.09887	1.79986	2.35706
112	Surface 24	27370	9.665	-20.819	-3.68	-388.74	-108.696	3.17695	4.77539	7.76527	-1.22684	0.973829	0.246502
113	Surface 24	27375	9.665	-19.0166	-3.68	-388.581	-108.769	3.87667	5.17634	7.82865	-1.12179	1.74915	0.208728
114	Surface 24	27589	9.665	-20.819	-2.76	-298.462	-80.8951	2.6509	5.97179	6.85742	-1.27995	1.09889	-1.67264
115	Surface 24	27594	9.665	-19.0166	-2.76	-298.334	-80.9735	3.4135	6.38859	6.91067	-1.17043	1.67434	-1.72008
116	Surface 24	27810	9.665	-20.819	-1.84	-203.419	-53.442	2.05923	6.99783	4.70749	-1.37545	1.20985	-2.42103
117	Surface 24	27814	9.665	-19.0166	-1.84	-203.056	-53.5145	2.92724	7.42967	4.74135	-1.26105	1.57269	-2.48263
118	Surface 24	28029	9.665	-20.819	-0.92	-105.087	-26.5074	1.51061	8.01523	2.27438	-1.24439	1.30137	-2.33139
119	Surface 24	28036	9.665	-19.0166	-0.92	-105.41	-26.6815	2.53177	8.46988	2.28601	-1.14009	1.43763	-2.40056
120	Surface 24	28248	9.665	-20.819	0.0	-3.21597	-2.84884	1.28935	9.12952	1.21014	-1.11189	5.18317	-2.10584
121	Surface 24	28255	9.665	-19.0166	0.0	-1.57074	-2.56747	2.6842	9.57081	1.20746	-1.03342	4.87336	-2.1748
122	Surface 26	27090	9.665	-13.3169	-4.6	-471.723	-138.631	1.03801	4.69348	6.95567	-0.801572	3.4468	2.47122
123	Surface 26	27104	9.665	-7.74887	-4.6	-470.718	-138.93	-2.16007	5.33469	7.0779	-0.499115	1.58263	2.50033
124	Surface 26	27388	9.665	-13.3169	-3.68	-387.111	-109.079	0.581404	6.26805	8.01567	-0.817036	3.02429	0.31596
125	Surface 26	27394	9.665	-7.74887	-3.68	-386.146	-109.384	-2.62105	6.94012	8.13091	-0.509687	1.40414	0.333944
126	Surface 26	27606	9.665	-13.3169	-2.76	-296.925	-81.3101	0.0810813	7.52635	7.07067	-0.851041	2.55381	-1.62692
127	Surface 26	27612	9.665	-7.74887	-2.76	-296.062	-81.6856	-3.06908	8.22664	7.16729	-0.531676	1.20094	-1.62588
128	Surface 26	27827	9.665	-13.3169	-1.84	-202.072	-53.9763	-0.308112	8.60844	4.84806	-0.919344	2.02462	-2.40891
129	Surface 26	27833	9.665	-7.74887	-1.84	-201.411	-54.4803	-3.43606	9.33447	4.90477	-0.574243	0.974534	-2.43372
130	Surface 26	28046	9.665	-13.3169	-0.92	-104.395	-26.8726	-0.416882	9.69909	2.3363	-0.836958	1.48105	-2.30856
