	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
195	Line 25210	3036	8.9	-128.78	-65.7	20.3973	153.775	693.595	0.0	129.806	-1.02087E-3
196	Line 25210	3010	9.665	-128.78	-65.7	20.3973	153.775	693.595	0.0	129.806	-1.02087E-3
197	Line 25210	2992	8.9	-117.682	-65.7	-18.2762	56.1721	322.858	0.0	67.7036	-20.7723E-6
198	Line 25210	2981	9.665	-123.231	-65.7	-16.1693	129.685	701.52	0.0	108.612	-2.02127E-3
199	Line 25210	2947	9.665	-117.682	-65.7	-18.2762	56.1721	322.858	0.0	67.7036	-20.7723E-6
200	Line 25211	3129	8.9	-142.018	-65.7	-95.611	-121.715	371.089	0.0	62.1149	-0.51341E-3
201	Line 25211	3111	8.9	-139.878	-65.7	-28.3942	-28.1492	317.826	0.0	24.0919	0.270173E-3
202	Line 25211	3097	9.665	-142.018	-65.7	-95.611	-121.715	371.089	0.0	62.1149	-0.51341E-3
203	Line 25211	3075	9.665	-139.878	-65.7	-28.3942	-28.1492	317.826	0.0	24.0919	0.270173E-3
204	Line 25212	4058	8.9	117.682	-65.7	35.9354	81.6306	123.56	0.0	26.3001	-0.105788E-3
205	Line 25212	4037	8.9	123.231	-65.7	-8.86445	141.433	325.463	0.0	82.4103	0.733949E-3
206	Line 25212	4100	9.665	117.682	-65.7	35.9354	81.6306	123.56	0.0	26.3001	-0.105788E-3
207	Line 25212	4067	9.665	123.231	-65.7	-8.86445	141.433	325.463	0.0	82.4103	0.733949E-3
208	Line 25212	4014	8.9	128.78	-65.7	-70.7954	148.065	392.274	0.0	101.029	-0.220294E-3
209	Line 25212	4041	9.665	128.78	-65.7	-70.7954	148.065	392.274	0.0	101.029	-0.220294E-3
210	Line 25212	3986	8.9	134.329	-65.7	-116.267	160.348	474.604	0.0	115.492	0.992271E-3
211	Line 25212	3941	8.9	139.878	-65.7	-61.6896	120.255	252.421	0.0	5.56082	-98.944E-6
212	Line 25212	4008	9.665	134.329	-65.7	-116.267	160.348	474.604	0.0	115.492	0.992271E-3
213	Line 25212	3973	9.665	139.878	-65.7	-61.6896	120.255	252.421	0.0	5.56082	-98.944E-6
214	Line 25213	3941	8.9	139.878	-65.7	-61.6896	120.255	252.421	0.0	5.56082	-98.944E-6
215	Line 25213	3926	8.9	142.018	-65.7	-114.891	209.206	333.972	0.0	43.1336	1.20629E-3
216	Line 25213	3973	9.665	139.878	-65.7	-61.6896	120.255	252.421	0.0	5.56082	-98.944E-6
217	Line 25213	3952	9.665	142.018	-65.7	-114.891	209.206	333.972	0.0	43.1336	1.20629E-3
218	Line 25214	2942	8.9	-78.9947	-65.7	-9.95976	-29.973	232.781	0.0	86.8452	0.586431E-3
219	Line 25214	2958	8.9	-73.4357	-65.7	28.3328	-96.1941	532.184	0.0	120.355	3.11762E-3
