	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
63	Surface 13	27842	9.665	173.888	-1.84	-207.922	-54.0385	0.0564767	-1.58784	3.84066	-0.0379852	0.201933	-2.3562
64	Surface 13	27846	9.665	167.775	-1.84	-207.886	-54.1781	0.0752075	-1.55481	3.87038	-0.043985	0.482973	-2.29433
65	Surface 13	27851	9.665	161.663	-1.84	-207.93	-53.7736	-6.36583	-1.52336	3.89556	-0.113353	1.055	-2.34866
66	Surface 13	28057	9.665	-180.0	-0.92	-111.025	-27.283	-2.46812	-0.839543	1.78374	-0.0525776	0.0596128	-2.04872
67	Surface 13	28061	9.665	173.888	-0.92	-111.06	-27.0054	0.156211	-0.832927	1.79019	-0.0400325	0.100156	-2.0969
68	Surface 13	28065	9.665	167.775	-0.92	-110.31	-27.1547	0.245288	-0.806733	1.81826	-0.0495209	0.247417	-2.06812
69	Surface 13	28071	9.665	161.663	-0.92	-110.267	-26.9115	-5.84217	-0.792789	1.84615	-0.126009	0.501883	-2.16627
70	Surface 13	28275	9.665	-180.0	0.0	-14.7366	-4.07794	-1.89247	0.15371	0.937846	-0.0501872	0.163375	-1.71537
71	Surface 13	28282	9.665	173.888	0.0	-12.3585	-3.59517	0.178976	0.177484	0.947217	-0.0351797	0.131346	-1.79241
72	Surface 13	28286	9.665	167.775	0.0	-14.1556	-4.09925	0.263684	0.179743	0.962958	-0.0452976	0.194674	-1.77151
73	Surface 13	28291	9.665	161.663	0.0	-11.2529	-3.51409	-4.974	0.207066	0.988958	-0.125017	0.344368	-1.9174
74	Surface 14	27096	9.665	-172.251	-4.6	-475.711	-137.162	3.21736	-4.46451	5.37417	0.0363027	-1.08575	2.14418
75	Surface 14	27108	9.665	-180.0	-4.6	-475.563	-137.258	-2.34657	-4.47165	5.37737	-0.0451041	0.357629	2.14818
76	Surface 14	27389	9.665	-172.251	-3.68	-391.641	-108.356	3.47534	-3.25261	6.49102	0.0365926	-0.893793	0.0977142
77	Surface 14	27396	9.665	-180.0	-3.68	-391.509	-108.477	-2.51379	-3.25952	6.49346	-0.0486529	0.294339	0.0965824
78	Surface 14	27610	9.665	-172.251	-2.76	-302.059	-81.1987	3.70006	-2.34273	5.72831	0.039278	-0.682789	-1.70444
79	Surface 14	27617	9.665	-180.0	-2.76	-301.964	-81.305	-2.6802	-2.35099	5.7247	-0.0513458	0.228245	-1.71167
80	Surface 14	27830	9.665	-172.251	-1.84	-207.787	-54.3484	3.82649	-1.59424	3.84833	0.0493848	-0.456375	-2.31639
81	Surface 14	27836	9.665	-180.0	-1.84	-207.846	-54.4016	-2.86085	-1.60334	3.83508	-0.0527994	0.160083	-2.31983
82	Surface 14	28051	9.665	-172.251	-0.92	-110.813	-27.2649	3.19113	-0.835446	1.79803	0.062849	-0.204242	-2.06595
83	Surface 14	28057	9.665	-180.0	-0.92	-111.025	-27.283	-2.46812	-0.839543	1.78374	-0.0525776	0.0596128	-2.04872
84	Surface 14	28271	9.665	-172.251	0.0	-14.5826	-4.08621	2.43285	0.153885	0.948396	0.0666625	-0.237121	-1.74704
85	Surface 14	28275	9.665	-180.0	0.0	-14.7366	-4.07794	-1.89247	0.15371	0.937846	-0.0501872	0.163375	-1.71537
86	Surface 15	27087	9.665	-166.683	-4.6	-476.387	-136.996	0.858699	-4.43614	5.3748	5.91099E-3	-2.54563	2.14324
87	Surface 15	27096	9.665	-172.251	-4.6	-475.711	-137.162	3.21736	-4.46451	5.37417	0.0363027	-1.08575	2.14418
88	Surface 15	27383	9.665	-166.683	-3.68	-392.238	-108.127	0.955609	-3.22812	6.49092	3.56264E-3	-2.09972	0.100199
89	Surface 15	27389	9.665	-172.251	-3.68	-391.641	-108.356	3.47534	-3.25261	6.49102	0.0365926	-0.893793	0.0977142
90	Surface 15	27605	9.665	-166.683	-2.76	-302.516	-80.8567	1.05587	-2.32035	5.73079	3.97321E-3	-1.61639	-1.6962
91	Surface 15	27610	9.665	-172.251	-2.76	-302.059	-81.1987	3.70006	-2.34273	5.72831	0.039278	-0.682789	-1.70444
92	Surface 15	27823	9.665	-166.683	-1.84	-208.012	-53.847	1.00042	-1.57263	3.86368	0.0133384	-1.08898	-2.29716
93	Surface 15	27830	9.665	-172.251	-1.84	-207.787	-54.3484	3.82649	-1.59424	3.84833	0.0493848	-0.456375	-2.31639
94	Surface 15	28043	9.665	-166.683	-0.92	-110.317	-26.9031	0.681687	-0.824878	1.81896	0.0255055	-0.547511	-2.08253
95	Surface 15	28051	9.665	-172.251	-0.92	-110.813	-27.2649	3.19113	-0.835446	1.79803	0.062849	-0.204242	-2.06595
96	Surface 15	28265	9.665	-166.683	0.0	-11.8616	-3.63324	0.360709	0.186798	0.970905	0.0269407	-0.172249	-1.81269
97	Surface 15	28271	9.665	-172.251	0.0	-14.5826	-4.08621	2.43285	0.153885	0.948396	0.0666625	-0.237121	-1.74704
98	Surface 17	27058	9.665	-159.181	-4.6	-477.348	-136.829	-0.788679	-4.3947	5.37678	0.0152764	0.565355	2.10178
99	Surface 17	27069	9.665	-160.983	-4.6	-477.41	-136.854	-1.58531	-4.4013	5.37634	-2.5083E-3	-0.486233	2.0523
100	Surface 17	27365	9.665	-159.181	-3.68	-393.084	-107.907	-0.848876	-3.19352	6.49264	0.0134218	0.467729	0.0604725
101	Surface 17	27372	9.665	-160.983	-3.68	-393.13	-107.931	-1.69585	-3.19845	6.49141	-5.58238E-3	-0.400454	8.11779E-3
102	Surface 17	27586	9.665	-159.181	-2.76	-303.184	-80.5193	-0.930571	-2.29153	5.73558	0.0151812	0.365133	-1.73361
