	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
59	Surface 13	27622	9.665	173.888	-2.76	-302.192	-81.1661	-0.0421214	-2.33554	5.72816	-0.0294755	0.316847	-1.75127
60	Surface 13	27626	9.665	167.775	-2.76	-302.26	-80.9973	-0.0721849	-2.29566	5.7437	-0.0309597	0.736122	-1.6857
61	Surface 13	27630	9.665	161.663	-2.76	-302.651	-80.7096	-6.10496	-2.26111	5.75434	-0.099266	1.55369	-1.7439
62	Surface 13	27836	9.665	-180.0	-1.84	-207.847	-54.4014	-2.86087	-1.60506	3.83492	-0.0527881	0.160087	-2.31978
63	Surface 13	27842	9.665	173.888	-1.84	-207.923	-54.0383	0.0564186	-1.58954	3.84051	-0.0379336	0.201862	-2.35615
64	Surface 13	27846	9.665	167.775	-1.84	-207.887	-54.178	0.0751181	-1.55639	3.87023	-0.0438974	0.482837	-2.29428
65	Surface 13	27851	9.665	161.663	-1.84	-207.93	-53.7734	-6.36596	-1.52479	3.89543	-0.113236	1.05481	-2.34861
66	Surface 13	28057	9.665	-180.0	-0.92	-111.026	-27.283	-2.46814	-0.841298	1.78367	-0.0525692	0.0596155	-2.04867
67	Surface 13	28061	9.665	173.888	-0.92	-111.061	-27.0054	0.156187	-0.834647	1.79011	-0.0399854	0.100086	-2.09684
68	Surface 13	28065	9.665	167.775	-0.92	-110.31	-27.1547	0.245255	-0.808332	1.81819	-0.0494393	0.247281	-2.06807
69	Surface 13	28071	9.665	161.663	-0.92	-110.267	-26.9115	-5.84222	-0.794238	1.84608	-0.125899	0.501699	-2.16622
70	Surface 13	28275	9.665	-180.0	0.0	-14.7369	-4.07791	-1.89248	0.151953	0.937811	-0.050181	0.16336	-1.71532
71	Surface 13	28282	9.665	173.888	0.0	-12.3589	-3.59513	0.17897	0.175763	0.947182	-0.0351367	0.131129	-1.79236
72	Surface 13	28286	9.665	167.775	0.0	-14.1559	-4.09922	0.263678	0.178143	0.962925	-0.0452223	0.194282	-1.77147
73	Surface 13	28291	9.665	161.663	0.0	-11.2531	-3.51406	-4.97403	0.205618	0.988926	-0.124915	0.343839	-1.91736
74	Surface 14	27096	9.665	-172.251	-4.6	-475.712	-137.161	3.21748	-4.4661	5.37392	0.0362825	-1.08567	2.14413
75	Surface 14	27108	9.665	-180.0	-4.6	-475.564	-137.257	-2.3466	-4.47329	5.37712	-0.0450888	0.357638	2.14813
76	Surface 14	27389	9.665	-172.251	-3.68	-391.642	-108.355	3.47542	-3.25423	6.49076	0.0365686	-0.893711	0.0977038
77	Surface 14	27396	9.665	-180.0	-3.68	-391.51	-108.476	-2.51382	-3.26119	6.4932	-0.0486391	0.294346	0.0965739
78	Surface 14	27610	9.665	-172.251	-2.76	-302.06	-81.1984	3.70011	-2.34438	5.72808	0.0392488	-0.682709	-1.70442
79	Surface 14	27617	9.665	-180.0	-2.76	-301.965	-81.3047	-2.68022	-2.35269	5.72448	-0.0513332	0.228251	-1.71165
80	Surface 14	27830	9.665	-172.251	-1.84	-207.788	-54.3482	3.82652	-1.59592	3.84817	0.0493486	-0.456297	-2.31634
81	Surface 14	27836	9.665	-180.0	-1.84	-207.847	-54.4014	-2.86087	-1.60506	3.83492	-0.0527881	0.160087	-2.31978
82	Surface 14	28051	9.665	-172.251	-0.92	-110.814	-27.2648	3.19114	-0.837151	1.79796	0.0628133	-0.204166	-2.0659
83	Surface 14	28057	9.665	-180.0	-0.92	-111.026	-27.283	-2.46814	-0.841298	1.78367	-0.0525692	0.0596155	-2.04867
84	Surface 14	28271	9.665	-172.251	0.0	-14.583	-4.08617	2.43285	0.152178	0.94836	0.066628	-0.236928	-1.747
85	Surface 14	28275	9.665	-180.0	0.0	-14.7369	-4.07791	-1.89248	0.151953	0.937811	-0.050181	0.16336	-1.71532
86	Surface 15	27087	9.665	-166.683	-4.6	-476.388	-136.995	0.858928	-4.43762	5.37457	5.86237E-3	-2.54549	2.1432
87	Surface 15	27096	9.665	-172.251	-4.6	-475.712	-137.161	3.21748	-4.4661	5.37392	0.0362825	-1.08567	2.14413
88	Surface 15	27383	9.665	-166.683	-3.68	-392.239	-108.127	0.955782	-3.22962	6.49068	3.50848E-3	-2.09957	0.100188
89	Surface 15	27389	9.665	-172.251	-3.68	-391.642	-108.355	3.47542	-3.25423	6.49076	0.0365686	-0.893711	0.0977038
90	Surface 15	27605	9.665	-166.683	-2.76	-302.516	-80.8564	1.05599	-2.32189	5.73058	3.91106E-3	-1.61625	-1.69618
91	Surface 15	27610	9.665	-172.251	-2.76	-302.06	-81.1984	3.70011	-2.34438	5.72808	0.0392488	-0.682709	-1.70442
92	Surface 15	27823	9.665	-166.683	-1.84	-208.012	-53.8468	1.00048	-1.57419	3.86353	0.0132645	-1.08883	-2.29712
93	Surface 15	27830	9.665	-172.251	-1.84	-207.788	-54.3482	3.82652	-1.59592	3.84817	0.0493486	-0.456297	-2.31634
94	Surface 15	28043	9.665	-166.683	-0.92	-110.318	-26.903	0.681703	-0.826468	1.81889	0.0254337	-0.547372	-2.08248
95	Surface 15	28051	9.665	-172.251	-0.92	-110.814	-27.2648	3.19114	-0.837151	1.79796	0.0628133	-0.204166	-2.0659
96	Surface 15	28265	9.665	-166.683	0.0	-11.8619	-3.6332	0.360706	0.185205	0.97087	0.0268721	-0.171873	-1.81265
97	Surface 15	28271	9.665	-172.251	0.0	-14.583	-4.08617	2.43285	0.152178	0.94836	0.066628	-0.236928	-1.747
98	Surface 17	27058	9.665	-159.181	-4.6	-477.348	-136.828	-0.788315	-4.39593	5.37659	0.015192	0.565584	2.10173
99	Surface 17	27069	9.665	-160.983	-4.6	-477.41	-136.853	-1.58497	-4.40259	5.37614	-2.5845E-3	-0.486019	2.05225
100	Surface 17	27365	9.665	-159.181	-3.68	-393.084	-107.906	-0.848596	-3.19478	6.49244	0.0133302	0.467958	0.0604589
101	Surface 17	27372	9.665	-160.983	-3.68	-393.131	-107.93	-1.69559	-3.19977	6.4912	-5.66557E-3	-0.40024	8.10416E-3
102	Surface 17	27586	9.665	-159.181	-2.76	-303.185	-80.519	-0.93038	-2.29282	5.7354	0.0150783	0.36536	-1.73359
103	Surface 17	27591	9.665	-160.983	-2.76	-303.287	-80.571	-1.79987	-2.29697	5.7335	-5.25449E-3	-0.304996	-1.78744
104	Surface 17	27807	9.665	-159.181	-1.84	-208.427	-53.3326	-1.01692	-1.54728	3.88141	0.0199646	0.252695	-2.32841
105	Surface 17	27813	9.665	-160.983	-1.84	-208.31	-53.3925	-1.95064	-1.54908	3.87745	-0.151754E-3	-0.204326	-2.38549
106	Surface 17	28026	9.665	-159.181	-0.92	-110.067	-26.5308	-1.12699	-0.820552	1.8395	0.0232618	0.139699	-2.14059
107	Surface 17	28031	9.665	-160.983	-0.92	-110.652	-26.7	-2.17786	-0.817974	1.836	5.9404E-3	-0.0857457	-2.19619
108	Surface 17	28245	9.665	-159.181	0.0	-7.32907	-2.76267	-1.24909	0.235028	0.996568	0.0190821	-0.0718671	-1.90039
109	Surface 17	28253	9.665	-160.983	0.0	-5.87543	-2.46295	-2.67029	0.223511	0.992783	0.430192E-3	-0.097427	-1.95292
110	Surface 24	27063	9.665	-20.819	-4.6	-477.357	-136.823	0.801785	-4.41544	5.37243	-0.0176109	-0.558091	2.10036
111	Surface 24	27071	9.665	-19.0166	-4.6	-477.418	-136.848	1.59893	-4.41991	5.37229	-0.231331E-3	0.493675	2.05091
112	Surface 24	27370	9.665	-20.819	-3.68	-393.095	-107.903	0.858723	-3.21583	6.48839	-0.0160997	-0.460584	0.0593938
113	Surface 24	27375	9.665	-19.0166	-3.68	-393.14	-107.928	1.70616	-3.21864	6.48742	2.51009E-3	0.407804	7.04644E-3
114	Surface 24	27589	9.665	-20.819	-2.76	-303.198	-80.5173	0.937224	-2.31531	5.73177	-0.0183071	-0.358143	-1.73424
115	Surface 24	27594	9.665	-19.0166	-2.76	-303.299	-80.5695	1.80709	-2.31728	5.73008	1.64584E-3	0.312425	-1.78811
116	Surface 24	27810	9.665	-20.819	-1.84	-208.442	-53.332	1.02057	-1.5711	3.87866	-0.0238217	-0.245688	-2.32849
117	Surface 24	27814	9.665	-19.0166	-1.84	-208.324	-53.3919	1.95454	-1.57072	3.87483	-4.09225E-3	0.211569	-2.38562
118	Surface 24	28029	9.665	-20.819	-0.92	-110.084	-26.5308	1.12805	-0.84566	1.83797	-0.0270129	-0.132942	-2.14019
119	Surface 24	28036	9.665	-19.0166	-0.92	-110.668	-26.7	2.17904	-0.840878	1.83448	-0.0100004	0.092737	-2.19588
120	Surface 24	28248	9.665	-20.819	0.0	-7.3458	-2.76268	1.24899	0.209581	0.995765	-0.0226878	0.090913	-1.89983
121	Surface 24	28255	9.665	-19.0166	0.0	-5.89168	-2.46307	2.67018	0.200247	0.991913	-4.38368E-3	0.117576	-1.95245
122	Surface 26	27090	9.665	-13.3169	-4.6	-476.391	-136.992	-0.843712	-4.44656	5.37206	-0.010054	2.55339	2.14168
123	Surface 26	27104	9.665	-7.74887	-4.6	-475.711	-137.159	-3.20182	-4.46701	5.37278	-0.0416785	1.09339	2.1427
124	Surface 26	27388	9.665	-13.3169	-3.68	-392.244	-108.124	-0.94392	-3.24002	6.48813	-7.96729E-3	2.1075	0.0989508
125	Surface 26	27394	9.665	-7.74887	-3.68	-391.642	-108.354	-3.46291	-3.2564	6.48947	-0.0421525	0.90155	0.096504
126	Surface 26	27606	9.665	-13.3169	-2.76	-302.523	-80.855	-1.04758	-2.33363	5.7282	-8.76531E-3	1.62414	-1.69705
127	Surface 26	27612	9.665	-7.74887	-2.76	-302.062	-81.1973	-3.69099	-2.34769	5.72679	-0.0451548	0.690602	-1.70532
128	Surface 26	27827	9.665	-13.3169	-1.84	-208.022	-53.8462	-0.995631	-1.58714	3.86167	-0.0187115	1.09662	-2.29749
129	Surface 26	27833	9.665	-7.74887	-1.84	-207.792	-54.3476	-3.82101	-1.60024	3.84713	-0.0557842	0.464153	-2.31684
130	Surface 26	28046	9.665	-13.3169	-0.92	-110.329	-26.9029	-0.679982	-0.840518	1.81786	-0.0305039	0.554983	-2.08235
131	Surface 26	28053	9.665	-7.74887	-0.92	-110.821	-27.2646	-3.189	-0.842371	1.79735	-0.0686692	0.21192	-2.06599
132	Surface 26	28268	9.665	-13.3169	0.0	-11.8753	-3.63335	-0.360496	0.170836	0.970359	-0.0315408	0.195317	-1.81231
133	Surface 26	28272	9.665	-7.74887	0.0	-14.5925	-4.08639	-2.43241	0.146665	0.948025	-0.0719135	0.262486	-1.74692
134	Surface 27	27104	9.665	-7.74887	-4.6	-475.711	-137.159	-3.20182	-4.46701	5.37278	-0.0416785	1.09339	2.1427
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-475.559	-137.258	2.36176	-4.46555	5.37755	0.0384697	-0.350497	2.14697
136	Surface 27	27394	9.665	-7.74887	-3.68	-391.642	-108.354	-3.46291	-3.2564	6.48947	-0.0421525	0.90155	0.096504
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-391.506	-108.476	2.52629	-3.25438	6.49335	0.0419412	-0.286976	0.0955361
138	Surface 27	27612	9.665	-7.74887	-2.76	-302.062	-81.1973	-3.69099	-2.34769	5.72679	-0.0451548	0.690602	-1.70532
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-301.962	-81.3044	2.68959	-2.34671	5.72439	0.0444216	-0.220734	-1.71254
140	Surface 27	27833	9.665	-7.74887	-1.84	-207.792	-54.3476	-3.82101	-1.60024	3.84713	-0.0557842	0.464153	-2.31684
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-207.845	-54.4011	2.86668	-1.59979	3.83469	0.0454531	-0.152541	-2.32043
142	Surface 27	28053	9.665	-7.74887	-0.92	-110.821	-27.2646	-3.189	-0.842371	1.79735	-0.0686692	0.21192	-2.06599
