	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
69	Surface 13	28071	9.665	161.663	-0.92	-229.747	-26.6283	-5.00281	1.12815	2.11603	-1.44794	1.98541	-2.39141
70	Surface 13	28275	9.665	-180.0	0.0	-130.768	-4.04644	-1.10192	4.39844	1.13769	-0.679436	2.81323	-1.89484
71	Surface 13	28282	9.665	173.888	0.0	-131.083	-3.66066	0.729792	3.68414	1.12092	-0.902266	3.78329	-1.98124
72	Surface 13	28286	9.665	167.775	0.0	-134.719	-4.20572	0.628251	2.8461	1.10649	-1.06424	4.63598	-1.95967
73	Surface 13	28291	9.665	161.663	0.0	-133.295	-3.66672	-4.61963	2.10067	1.11251	-1.2379	5.48102	-2.09835
74	Surface 14	27096	9.665	-172.251	-4.6	-586.632	-136.369	6.98649	-2.05565	5.02594	0.0267517	-1.75296	3.43417
75	Surface 14	27108	9.665	-180.0	-4.6	-585.972	-135.499	1.77668	-1.96868	5.30242	-0.611313	0.331985	3.28074
76	Surface 14	27389	9.665	-172.251	-3.68	-504.024	-107.254	7.65168	-0.173873	6.7832	-0.131188	-1.42906	1.17723
77	Surface 14	27396	9.665	-180.0	-3.68	-503.744	-106.842	1.62762	-0.230014	6.99935	-0.75762	0.425403	0.95638
78	Surface 14	27610	9.665	-172.251	-2.76	-415.055	-80.146	7.8649	1.34248	6.37279	-0.252157	-1.03585	-1.01414
79	Surface 14	27617	9.665	-180.0	-2.76	-415.372	-80.0062	1.12503	1.12609	6.48783	-0.864534	0.538198	-1.26982
80	Surface 14	27830	9.665	-172.251	-1.84	-320.639	-53.5919	7.37548	2.62173	4.50645	-0.316098	-0.609288	-1.99737
