	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
51	Surface 13	27116	9.665	173.888	-4.6	-892.787	-139.23	0.889076	1.12433	7.10287	-0.411768	1.45872	4.18065
52	Surface 13	27123	9.665	167.775	-4.6	-893.392	-139.003	1.78971	0.493948	6.9854	-0.789921	3.20435	4.19881
53	Surface 13	27127	9.665	161.663	-4.6	-894.873	-138.569	-2.01577	-0.345351	6.83332	-1.15893	6.02954	4.09671
54	Surface 13	27396	9.665	-180.0	-3.68	-817.563	-109.618	-2.33183	3.0176	9.39137	-0.0240144	0.581339	1.16463
55	Surface 13	27402	9.665	173.888	-3.68	-818.215	-109.469	0.701055	2.86918	9.36907	-0.419744	1.38876	1.12384
56	Surface 13	27405	9.665	167.775	-3.68	-818.842	-109.26	1.4152	2.2051	9.26063	-0.805831	3.04308	1.15603
57	Surface 13	27410	9.665	161.663	-3.68	-820.32	-108.867	-3.01952	1.32668	9.12511	-1.18938	5.6826	1.07059
58	Surface 13	27617	9.665	-180.0	-2.76	-735.624	-81.8081	-2.52982	4.28206	8.65221	-0.0253514	0.520748	-1.89995
59	Surface 13	27622	9.665	173.888	-2.76	-736.231	-81.6379	0.511731	4.12391	8.63416	-0.43827	1.30133	-1.94018
60	Surface 13	27626	9.665	167.775	-2.76	-736.841	-81.4647	1.03253	3.42947	8.55022	-0.841967	2.84586	-1.88556
61	Surface 13	27630	9.665	161.663	-2.76	-738.26	-81.0897	-4.08212	2.51429	8.44855	-1.24661	5.27551	-1.95021
62	Surface 13	27836	9.665	-180.0	-1.84	-647.354	-54.5227	-2.72343	5.2556	5.91436	-0.0233207	0.457009	-3.11351
63	Surface 13	27842	9.665	173.888	-1.84	-647.822	-54.154	0.390026	5.08946	5.90686	-0.474443	1.19513	-3.14487
64	Surface 13	27846	9.665	167.775	-1.84	-648.367	-54.2966	0.739818	4.36343	5.86148	-0.911611	2.61075	-3.08324
65	Surface 13	27851	9.665	161.663	-1.84	-649.492	-53.858	-5.05106	3.41389	5.81935	-1.34493	4.8095	-3.12146
66	Surface 13	28057	9.665	-180.0	-0.92	-555.348	-27.2433	-2.35053	6.24529	2.76949	-0.021899	0.363915	-2.83615
67	Surface 13	28061	9.665	173.888	-0.92	-555.771	-26.9745	0.277347	6.06742	2.77108	-0.42973	1.09836	-2.87776
68	Surface 13	28065	9.665	167.775	-0.92	-555.646	-27.1251	0.487647	5.30692	2.76003	-0.82615	2.3857	-2.83533
69	Surface 13	28071	9.665	161.663	-0.92	-556.681	-26.87	-5.18702	4.31451	2.76641	-1.22555	4.27768	-2.90888
70	Surface 13	28275	9.665	-180.0	0.0	-464.012	-4.54669	-1.795	7.2291	1.37193	-0.0186176	0.345816	-2.33612
71	Surface 13	28282	9.665	173.888	0.0	-462.15	-4.09599	0.192738	7.06532	1.37895	-0.380153	2.28609	-2.40811
72	Surface 13	28286	9.665	167.775	0.0	-464.353	-4.55946	0.293413	6.2782	1.37908	-0.73124	4.64243	-2.36589
73	Surface 13	28291	9.665	161.663	0.0	-462.588	-3.97833	-4.66482	5.28727	1.40217	-1.09958	7.37194	-2.49029
74	Surface 14	27096	9.665	-172.251	-4.6	-892.539	-139.194	1.62311	0.92003	7.0644	0.513242	-2.67547	4.20773
75	Surface 14	27108	9.665	-180.0	-4.6	-892.116	-139.38	-2.14586	1.26313	7.12824	-0.0215085	0.638314	4.22349
76	Surface 14	27389	9.665	-172.251	-3.68	-817.993	-109.442	2.16222	2.66144	9.33374	0.527223	-2.52048	1.15836
77	Surface 14	27396	9.665	-180.0	-3.68	-817.563	-109.618	-2.33183	3.0176	9.39137	-0.0240144	0.581339	1.16463
78	Surface 14	27610	9.665	-172.251	-2.76	-736.042	-81.6735	2.71211	3.91475	8.61031	0.554208	-2.33655	-1.89467
79	Surface 14	27617	9.665	-180.0	-2.76	-735.624	-81.8081	-2.52982	4.28206	8.65221	-0.0253514	0.520748	-1.89995
80	Surface 14	27830	9.665	-172.251	-1.84	-647.639	-54.4562	3.17241	4.87732	5.89742	0.602705	-2.12511	-3.10518
81	Surface 14	27836	9.665	-180.0	-1.84	-647.354	-54.5227	-2.72343	5.2556	5.91436	-0.0233207	0.457009	-3.11351
82	Surface 14	28051	9.665	-172.251	-0.92	-555.486	-27.2216	2.86134	5.85023	2.76966	0.555253	-1.88632	-2.84515
83	Surface 14	28057	9.665	-180.0	-0.92	-555.348	-27.2433	-2.35053	6.24529	2.76949	-0.021899	0.363915	-2.83615
84	Surface 14	28271	9.665	-172.251	0.0	-464.163	-4.54818	2.27861	6.82755	1.37593	0.500003	-3.35516	-2.36011
85	Surface 14	28275	9.665	-180.0	0.0	-464.012	-4.54669	-1.795	7.2291	1.37193	-0.0186176	0.345816	-2.33612
86	Surface 15	27087	9.665	-166.683	-4.6	-894.097	-138.866	-1.31201	0.216296	6.93386	0.836723	-5.9479	4.17832
87	Surface 15	27096	9.665	-172.251	-4.6	-892.539	-139.194	1.62311	0.92003	7.0644	0.513242	-2.67547	4.20773
88	Surface 15	27383	9.665	-166.683	-3.68	-819.539	-109.118	-0.805486	1.92639	9.21203	0.855866	-5.58222	1.14051
89	Surface 15	27389	9.665	-172.251	-3.68	-817.993	-109.442	2.16222	2.66144	9.33374	0.527223	-2.52048	1.15836
90	Surface 15	27605	9.665	-166.683	-2.76	-737.5	-81.2904	-0.249825	3.15062	8.50922	0.895419	-5.15788	-1.89553
91	Surface 15	27610	9.665	-172.251	-2.76	-736.042	-81.6735	2.71211	3.91475	8.61031	0.554208	-2.33655	-1.89467
92	Surface 15	27823	9.665	-166.683	-1.84	-648.899	-53.9592	0.19862	4.08637	5.83768	0.971016	-4.66413	-3.08038
93	Surface 15	27830	9.665	-172.251	-1.84	-647.639	-54.4562	3.17241	4.87732	5.89742	0.602705	-2.12511	-3.10518
94	Surface 15	28043	9.665	-166.683	-0.92	-556.047	-26.8797	0.36495	5.02751	2.75508	0.885626	-4.14887	-2.84288
95	Surface 15	28051	9.665	-172.251	-0.92	-555.486	-27.2216	2.86134	5.85023	2.76966	0.555253	-1.88632	-2.84515
96	Surface 15	28265	9.665	-166.683	0.0	-462.55	-4.11732	0.294803	6.0207	1.38599	0.78956	-6.35265	-2.40135
97	Surface 15	28271	9.665	-172.251	0.0	-464.163	-4.54818	2.27861	6.82755	1.37593	0.500003	-3.35516	-2.36011
98	Surface 17	27058	9.665	-159.181	-4.6	-896.567	-138.388	-3.77661	-1.34103	6.64839	1.25511	-0.452092	4.09771
99	Surface 17	27069	9.665	-160.983	-4.6	-896.472	-138.491	-4.26597	-0.92139	6.72291	1.15061	-2.39595	4.07589
100	Surface 17	27365	9.665	-159.181	-3.68	-822.021	-108.714	-3.2548	0.302589	8.94533	1.28518	-0.574626	1.0762
101	Surface 17	27372	9.665	-160.983	-3.68	-821.891	-108.785	-3.84863	0.739608	9.01335	1.17777	-2.35618	1.04435
102	Surface 17	27586	9.665	-159.181	-2.76	-739.911	-80.8683	-2.69367	1.46284	8.28354	1.34546	-0.688618	-1.93601
103	Surface 17	27591	9.665	-160.983	-2.76	-739.81	-80.9424	-3.37579	1.91635	8.34028	1.23293	-2.28969	-1.9791
104	Surface 17	27807	9.665	-159.181	-1.84	-651.122	-53.4328	-2.06235	2.34016	5.68899	1.45173	-0.789206	-3.08759
105	Surface 17	27813	9.665	-160.983	-1.84	-650.794	-53.4981	-2.87066	2.80894	5.72505	1.33326	-2.19305	-3.14642
106	Surface 17	28026	9.665	-159.181	-0.92	-557.617	-26.5213	-1.47729	3.2072	2.68901	1.3175	-0.870873	-2.86128
107	Surface 17	28031	9.665	-160.983	-0.92	-557.95	-26.6804	-2.44861	3.69976	2.70055	1.20875	-2.06106	-2.92954
108	Surface 17	28245	9.665	-159.181	0.0	-459.888	-3.26905	-1.2383	4.22552	1.3672	1.18235	-4.98573	-2.44781
109	Surface 17	28253	9.665	-160.983	0.0	-458.335	-2.98836	-2.58282	4.7044	1.36253	1.09985	-5.71964	-2.51702
110	Surface 24	27063	9.665	-20.819	-4.6	-896.52	-138.395	3.75218	-1.24624	6.66151	-1.25462	0.432649	4.09602
111	Surface 24	27071	9.665	-19.0166	-4.6	-896.427	-138.497	4.24018	-0.832245	6.73513	-1.15031	2.3754	4.07417
112	Surface 24	27370	9.665	-20.819	-3.68	-821.974	-108.717	3.2369	0.39665	8.95708	-1.28404	0.555498	1.0738
113	Surface 24	27375	9.665	-19.0166	-3.68	-821.847	-108.788	3.82979	0.828016	9.02433	-1.17675	2.33598	1.04199
114	Surface 24	27589	9.665	-20.819	-2.76	-739.866	-80.8685	2.68224	1.55621	8.293	-1.34328	0.669941	-1.93912
115	Surface 24	27594	9.665	-19.0166	-2.76	-739.768	-80.9424	3.3638	2.00405	8.34917	-1.23079	2.26999	-1.98208
116	Surface 24	27810	9.665	-20.819	-1.84	-651.084	-53.4321	2.05695	2.43294	5.69535	-1.44797	0.771143	-3.09109
117	Surface 24	27814	9.665	-19.0166	-1.84	-650.757	-53.4972	2.86502	2.89606	5.73107	-1.32942	2.17401	-3.14971
118	Surface 24	28029	9.665	-20.819	-0.92	-557.591	-26.5204	1.47618	3.29975	2.69209	-1.31296	0.853545	-2.86414
119	Surface 24	28036	9.665	-19.0166	-0.92	-557.926	-26.6793	2.44737	3.78659	2.70362	-1.20411	2.04285	-2.93213
120	Surface 24	28248	9.665	-20.819	0.0	-459.889	-3.27158	1.2388	4.31758	1.36864	-1.17713	4.94979	-2.44996
121	Surface 24	28255	9.665	-19.0166	0.0	-458.337	-2.99072	2.58314	4.79082	1.36416	-1.09423	5.68214	-2.51887
122	Surface 26	27090	9.665	-13.3169	-4.6	-894.063	-138.871	1.28224	0.280944	6.94203	-0.836983	5.92383	4.17724
123	Surface 26	27104	9.665	-7.74887	-4.6	-892.518	-139.197	-1.65557	0.958245	7.0683	-0.514091	2.64921	4.20716
124	Surface 26	27388	9.665	-13.3169	-3.68	-819.506	-109.12	0.783983	1.99032	9.21944	-0.855242	5.5586	1.13887
125	Surface 26	27394	9.665	-7.74887	-3.68	-817.972	-109.443	-2.18548	2.69902	9.3374	-0.527053	2.49475	1.15736
126	Surface 26	27606	9.665	-13.3169	-2.76	-737.469	-81.2904	0.236399	3.21386	8.5152	-0.89346	5.1349	-1.8977
127	Surface 26	27612	9.665	-7.74887	-2.76	-736.022	-81.6734	-2.72648	3.95173	8.61324	-0.552539	2.31154	-1.89605
128	Surface 26	27827	9.665	-13.3169	-1.84	-648.873	-53.9585	-0.204656	4.14902	5.84164	-0.967094	4.64198	-3.08284
129	Surface 26	27833	9.665	-7.74887	-1.84	-647.623	-54.4556	-3.17872	4.91374	5.89922	-0.598876	2.10101	-3.10672
130	Surface 26	28046	9.665	-13.3169	-0.92	-556.031	-26.8789	-0.365934	5.08975	2.75687	-0.880651	4.12763	-2.8449
131	Surface 26	28053	9.665	-7.74887	-0.92	-555.477	-27.2211	-2.86229	5.88626	2.7704	-0.55022	1.86312	-2.84628
132	Surface 26	28268	9.665	-13.3169	0.0	-462.551	-4.11888	-0.294015	6.08254	1.38667	-0.783754	6.31052	-2.4029
133	Surface 26	28272	9.665	-7.74887	0.0	-464.165	-4.54914	-2.27776	6.86333	1.3762	-0.494023	3.31032	-2.36082
134	Surface 27	27104	9.665	-7.74887	-4.6	-892.518	-139.197	-1.65557	0.958245	7.0683	-0.514091	2.64921	4.20716
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-892.11	-139.38	2.11191	1.26939	7.12733	0.0199602	-0.665776	4.22359
136	Surface 27	27394	9.665	-7.74887	-3.68	-817.972	-109.443	-2.18548	2.69902	9.3374	-0.527053	2.49475	1.15736
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-817.557	-109.617	2.30766	3.02343	9.391	0.0236017	-0.608191	1.16459
