	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
52	Surface 13	27123	9.665	167.775	-4.6	-588.785	-137.067	-0.0808393	-5.92092	5.32811	-0.018373	1.46259	2.60448
53	Surface 13	27127	9.665	161.663	-4.6	-589.497	-136.879	-5.14303	-5.85304	5.33653	-0.0726679	3.05404	2.5442
54	Surface 13	27396	9.665	-180.0	-3.68	-506.842	-108.463	-2.44237	-4.78625	6.75606	-0.0436507	0.386527	0.313543
55	Surface 13	27402	9.665	173.888	-3.68	-507.202	-108.356	-0.0580428	-4.75651	6.76267	-0.0189532	0.546693	0.278352
56	Surface 13	27405	9.665	167.775	-3.68	-507.355	-108.2	-0.099423	-4.69006	6.77266	-0.0164078	1.25915	0.328696
57	Surface 13	27410	9.665	161.663	-3.68	-507.992	-107.962	-5.57716	-4.62711	6.78198	-0.0760299	2.63637	0.270685
58	Surface 13	27617	9.665	-180.0	-2.76	-419.473	-81.2892	-2.62309	-3.8951	6.05975	-0.0464232	0.321941	-1.78088
59	Surface 13	27622	9.665	173.888	-2.76	-419.77	-81.1458	-0.050375	-3.86827	6.0651	-0.0209294	0.44501	-1.81957
60	Surface 13	27626	9.665	167.775	-2.76	-419.863	-80.9834	-0.0859314	-3.80492	6.08422	-0.0187565	1.03249	-1.75542
61	Surface 13	27630	9.665	161.663	-2.76	-420.376	-80.6944	-5.99019	-3.74607	6.09839	-0.0826631	2.17937	-1.81241
62	Surface 13	27836	9.665	-180.0	-1.84	-327.019	-54.3935	-2.81564	-3.19435	4.06435	-0.0478918	0.255061	-2.49078
63	Surface 13	27842	9.665	173.888	-1.84	-327.168	-54.0289	0.0515279	-3.16886	4.07118	-0.0285351	0.332331	-2.52674
64	Surface 13	27846	9.665	167.775	-1.84	-327.156	-54.1713	0.0666772	-3.11171	4.10344	-0.0303131	0.784235	-2.46649
65	Surface 13	27851	9.665	161.663	-1.84	-327.325	-53.7671	-6.27378	-3.05534	4.13084	-0.0953455	1.69023	-2.52063
66	Surface 13	28057	9.665	-180.0	-0.92	-231.461	-27.2844	-2.43678	-2.47925	1.87796	-0.0483639	0.155971	-2.18131
67	Surface 13	28061	9.665	173.888	-0.92	-231.568	-27.008	0.153763	-2.46229	1.88497	-0.0312393	0.23244	-2.22939
68	Surface 13	28065	9.665	167.775	-0.92	-230.85	-27.1571	0.240763	-2.41126	1.91426	-0.0366557	0.552635	-2.20188
69	Surface 13	28071	9.665	161.663	-0.92	-230.932	-26.9138	-5.77216	-2.37166	1.94284	-0.109325	1.14553	-2.2999
70	Surface 13	28275	9.665	-180.0	0.0	-136.165	-4.17305	-1.8698	-1.51196	0.972379	-0.0465198	0.248661	-1.79888
71	Surface 13	28282	9.665	173.888	0.0	-133.884	-3.69668	0.177851	-1.47801	0.981839	-0.0269082	0.236622	-1.87589
72	Surface 13	28286	9.665	167.775	0.0	-135.69	-4.19483	0.260775	-1.4506	0.998144	-0.0331587	0.460798	-1.85587
73	Surface 13	28291	9.665	161.663	0.0	-132.941	-3.61387	-4.91706	-1.39764	1.02409	-0.109123	0.941255	-2.00118
74	Surface 14	27096	9.665	-172.251	-4.6	-588.387	-137.178	3.109	-6.01359	5.3103	0.0338944	-1.35238	2.59182
75	Surface 14	27108	9.665	-180.0	-4.6	-588.212	-137.275	-2.2654	-6.02559	5.3122	-0.0401317	0.448067	2.59613
76	Surface 14	27389	9.665	-172.251	-3.68	-507.002	-108.341	3.37945	-4.77464	6.75465	0.0343936	-1.16707	0.314386
77	Surface 14	27396	9.665	-180.0	-3.68	-506.842	-108.463	-2.44237	-4.78625	6.75606	-0.0436507	0.386527	0.313543
78	Surface 14	27610	9.665	-172.251	-2.76	-419.597	-81.1821	3.62293	-3.88231	6.0641	0.0371583	-0.9617	-1.77403
79	Surface 14	27617	9.665	-180.0	-2.76	-419.473	-81.2892	-2.62309	-3.8951	6.05975	-0.0464232	0.321941	-1.78088
80	Surface 14	27830	9.665	-172.251	-1.84	-326.991	-54.3393	3.76626	-3.18085	4.07796	0.0469279	-0.739927	-2.48768
81	Surface 14	27836	9.665	-180.0	-1.84	-327.019	-54.3935	-2.81564	-3.19435	4.06435	-0.0478918	0.255061	-2.49078
82	Surface 14	28051	9.665	-172.251	-0.92	-231.282	-27.2655	3.1505	-2.47075	1.89231	0.0602084	-0.491694	-2.19862
83	Surface 14	28057	9.665	-180.0	-0.92	-231.461	-27.2844	-2.43678	-2.47925	1.87796	-0.0483639	0.155971	-2.18131
84	Surface 14	28271	9.665	-172.251	0.0	-136.042	-4.18082	2.40439	-1.50735	0.982874	0.0636905	-0.516691	-1.83047
85	Surface 14	28275	9.665	-180.0	0.0	-136.165	-4.17305	-1.8698	-1.51196	0.972379	-0.0465198	0.248661	-1.79888
86	Surface 15	27087	9.665	-166.683	-4.6	-589.196	-137.008	0.847594	-5.9704	5.31429	1.08542E-3	-3.17275	2.59073
87	Surface 15	27096	9.665	-172.251	-4.6	-588.387	-137.178	3.109	-6.01359	5.3103	0.0338944	-1.35238	2.59182
88	Surface 15	27383	9.665	-166.683	-3.68	-507.739	-108.109	0.943724	-4.73515	6.75768	-1.3493E-3	-2.74222	0.316621
89	Surface 15	27389	9.665	-172.251	-3.68	-507.002	-108.341	3.37945	-4.77464	6.75465	0.0343936	-1.16707	0.314386
90	Surface 15	27605	9.665	-166.683	-2.76	-420.197	-80.8386	1.04411	-3.84486	6.06928	-1.34306E-3	-2.2717	-1.7663
91	Surface 15	27610	9.665	-172.251	-2.76	-419.597	-81.1821	3.62293	-3.88231	6.0641	0.0371583	-0.9617	-1.77403
92	Surface 15	27823	9.665	-166.683	-1.84	-327.361	-53.8393	0.989553	-3.14414	4.09518	6.97821E-3	-1.75458	-2.46934
93	Surface 15	27830	9.665	-172.251	-1.84	-326.991	-54.3393	3.76626	-3.18085	4.07796	0.0469279	-0.739927	-2.48768
94	Surface 15	28043	9.665	-166.683	-0.92	-230.936	-26.9066	0.673672	-2.44482	1.91403	0.0190181	-1.22134	-2.21587
95	Surface 15	28051	9.665	-172.251	-0.92	-231.282	-27.2655	3.1505	-2.47075	1.89231	0.0602084	-0.491694	-2.19862
96	Surface 15	28265	9.665	-166.683	0.0	-133.495	-3.73378	0.355513	-1.4594	1.00555	0.0201232	-0.827803	-1.89639
97	Surface 15	28271	9.665	-172.251	0.0	-136.042	-4.18082	2.40439	-1.50735	0.982874	0.0636905	-0.516691	-1.83047
98	Surface 17	27058	9.665	-159.181	-4.6	-590.344	-136.839	-0.72631	-5.90029	5.32234	5.66714E-3	0.726635	2.55041
99	Surface 17	27069	9.665	-160.983	-4.6	-590.42	-136.862	-1.49595	-5.91373	5.3206	-0.0104565	-0.590257	2.50251
100	Surface 17	27365	9.665	-159.181	-3.68	-508.782	-107.887	-0.796903	-4.67137	6.76494	3.55555E-3	0.632398	0.277774
101	Surface 17	27372	9.665	-160.983	-3.68	-508.844	-107.91	-1.62035	-4.68325	6.76249	-0.0138341	-0.507419	0.22688
102	Surface 17	27586	9.665	-159.181	-2.76	-421.068	-80.5011	-0.891095	-3.78646	6.07886	4.60718E-3	0.532336	-1.80339
103	Surface 17	27591	9.665	-160.983	-2.76	-421.185	-80.5512	-1.74249	-3.79762	6.07591	-0.0141687	-0.414833	-1.85596
104	Surface 17	27807	9.665	-159.181	-1.84	-327.978	-53.3274	-0.98964	-3.08762	4.11646	8.15367E-3	0.421332	-2.50102
105	Surface 17	27813	9.665	-160.983	-1.84	-327.878	-53.385	-1.90954	-3.09657	4.11181	-0.0104937	-0.316529	-2.55694
106	Surface 17	28026	9.665	-159.181	-0.92	-230.892	-26.5356	-1.10967	-2.40849	1.93632	0.0119901	0.309378	-2.27454
