	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
46	Surface 12	28071	9.665	161.663	-0.92	-214.708	-26.166	-3.03847	27.2339	3.42292	-2.68323	3.98563	-2.9196
47	Surface 12	28076	9.665	159.181	-0.92	-216.873	-26.0646	2.39692	25.3924	3.29168	-3.06436	4.21063	-2.91721
48	Surface 12	28291	9.665	161.663	0.0	-121.398	-3.80868	-3.71008	28.3844	1.77368	-2.36839	11.229	-2.70173
49	Surface 12	28296	9.665	159.181	0.0	-120.6	-3.32963	1.24133	26.5351	1.69998	-2.72386	13.0136	-2.6786
50	Surface 13	27108	9.665	-180.0	-4.6	-575.211	-139.258	3.3466	20.5665	8.35567	1.55211	-1.36338	4.5779
51	Surface 13	27116	9.665	173.888	-4.6	-574.601	-137.722	7.97912	21.558	8.88346	0.040357	0.311802	4.3098
52	Surface 13	27123	9.665	167.775	-4.6	-574.936	-136.717	9.38222	20.9755	9.10246	-1.28059	2.44643	4.08149
53	Surface 13	27127	9.665	161.663	-4.6	-576.353	-135.904	5.10255	19.6439	9.1497	-2.37692	5.04024	3.68681
54	Surface 13	27396	9.665	-180.0	-3.68	-490.626	-108.567	4.06422	23.6068	10.1262	1.29226	-1.20701	2.11639
55	Surface 13	27402	9.665	173.888	-3.68	-490.569	-107.643	7.94813	24.3852	10.5598	-0.209765	0.493163	1.76004
56	Surface 13	27405	9.665	167.775	-3.68	-491.452	-107.059	8.63817	23.5591	10.6806	-1.5146	2.52805	1.49321
57	Surface 13	27410	9.665	161.663	-3.68	-493.249	-106.537	3.45617	22.0081	10.6473	-2.60102	4.90105	1.10204
58	Surface 13	27617	9.665	-180.0	-2.76	-399.52	-80.4442	4.04996	26.238	9.4527	1.11559	-0.960911	-0.452367
