	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
42	Surface 12	27630	9.665	161.663	-2.76	-302.701	0.518919	-6.48442	-2.47786	5.67938	-0.10314	1.64355	-1.73559
43	Surface 12	27635	9.665	159.181	-2.76	-303.102	0.640856	-0.289521	-2.45975	5.68309	-0.0283052	1.15911	-1.75993
44	Surface 12	27851	9.665	161.663	-1.84	-208.044	0.37949	-6.74235	-1.67237	3.83376	-0.117841	1.1142	-2.33072
45	Surface 12	27856	9.665	159.181	-1.84	-208.291	0.703771	-0.265105	-1.65658	3.83883	-0.0380027	0.782697	-2.35671
46	Surface 12	28071	9.665	161.663	-0.92	-110.48	0.163311	-6.17735	-0.871082	1.80943	-0.13153	0.528795	-2.13301
47	Surface 12	28076	9.665	159.181	-0.92	-110.517	0.407266	0.0332968	-0.869826	1.81299	-0.0431225	0.37731	-2.157
48	Surface 12	28291	9.665	161.663	0.0	-8.72944	10.5824	-5.25562	0.199587	0.975388	-0.130819	0.358257	-1.87487
49	Surface 12	28296	9.665	159.181	0.0	-5.16474	11.249	0.479302	0.228635	0.984275	-0.0360308	0.200228	-1.90508
50	Surface 13	27108	9.665	-180.0	-4.6	-475.296	-0.822149	-2.51333	-4.8263	5.28767	-0.0471629	0.379461	2.1606
51	Surface 13	27116	9.665	173.888	-4.6	-475.635	-0.735705	-0.0346106	-4.80318	5.29246	-0.0273085	0.547381	2.122
52	Surface 13	27123	9.665	167.775	-4.6	-475.794	-0.606183	-0.0610012	-4.75304	5.29796	-0.0287915	1.25281	2.16978
53	Surface 13	27127	9.665	161.663	-4.6	-476.405	-0.414682	-5.68066	-4.70867	5.30205	-0.0921782	2.60517	2.10315
54	Surface 13	27396	9.665	-180.0	-3.68	-391.491	-0.1947	-2.67991	-3.54608	6.41123	-0.0508055	0.311817	0.101769
55	Surface 13	27402	9.665	173.888	-3.68	-391.785	-0.089954	-0.0510411	-3.52582	6.41619	-0.0268847	0.447511	0.0631889
56	Surface 13	27405	9.665	167.775	-3.68	-391.922	0.0805785	-0.0874095	-3.48209	6.42225	-0.0272798	1.02758	0.118622
57	Surface 13	27410	9.665	161.663	-3.68	-392.45	0.325526	-6.09885	-3.44303	6.42754	-0.0958228	2.14303	0.0552148
58	Surface 13	27617	9.665	-180.0	-2.76	-302.002	-0.103646	-2.84575	-2.5701	5.64809	-0.0535671	0.241465	-1.70292
59	Surface 13	27622	9.665	173.888	-2.76	-302.231	0.0410795	-0.0473298	-2.55302	5.65192	-0.0294971	0.336215	-1.74462
60	Surface 13	27626	9.665	167.775	-2.76	-302.303	0.21798	-0.0801723	-2.51261	5.66818	-0.0306028	0.779664	-1.67445
61	Surface 13	27630	9.665	161.663	-2.76	-302.701	0.518919	-6.48442	-2.47786	5.67938	-0.10314	1.64355	-1.73559
62	Surface 13	27836	9.665	-180.0	-1.84	-207.975	-0.28037	-3.02879	-1.75398	3.7698	-0.0550663	0.169163	-2.30148
63	Surface 13	27842	9.665	173.888	-1.84	-208.048	0.102263	0.057192	-1.73835	3.77571	-0.0385592	0.213936	-2.33971
64	Surface 13	27846	9.665	167.775	-1.84	-208.009	-0.0461288	0.0760242	-1.70456	3.80708	-0.0444375	0.510653	-2.27371
65	Surface 13	27851	9.665	161.663	-1.84	-208.044	0.37949	-6.74235	-1.67237	3.83376	-0.117841	1.1142	-2.33072
