	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
42	Surface 12	27630	9.665	161.663	-2.76	-411.801	-81.5776	-3.936	12.14	8.25321	-1.625	4.28764	-1.8163
43	Surface 12	27635	9.665	159.181	-2.76	-412.99	-81.4255	2.28097	10.8706	8.06379	-1.7924	4.03202	-1.82853
44	Surface 12	27851	9.665	161.663	-1.84	-318.184	-54.052	-5.07804	13.3045	5.7026	-1.7776	3.76928	-2.75305
45	Surface 12	27856	9.665	159.181	-1.84	-319.236	-53.7544	1.24977	11.9981	5.55282	-1.96344	3.65629	-2.75746
46	Surface 12	28071	9.665	161.663	-0.92	-221.805	-26.8882	-5.32261	14.4889	2.77655	-1.63684	3.19292	-2.67466
47	Surface 12	28076	9.665	159.181	-0.92	-222.607	-26.6824	0.555232	13.1397	2.68622	-1.80454	3.23339	-2.6649
48	Surface 12	28291	9.665	161.663	0.0	-125.272	-3.75084	-4.8337	15.5638	1.44301	-1.49131	7.58894	-2.39117
49	Surface 12	28296	9.665	159.181	0.0	-122.625	-3.13982	0.478752	14.2357	1.39771	-1.64936	8.49727	-2.3803
50	Surface 13	27108	9.665	-180.0	-4.6	-579.684	-140.847	-3.19963	11.9176	8.65982	0.0522865	0.408349	2.91301
51	Surface 13	27116	9.665	173.888	-4.6	-580.27	-140.746	0.765495	11.6291	8.572	-0.474688	1.42733	2.89117
52	Surface 13	27123	9.665	167.775	-4.6	-581.022	-140.43	2.33101	10.5031	8.33642	-0.997085	2.98835	2.93391
53	Surface 13	27127	9.665	161.663	-4.6	-582.438	-139.832	-1.47147	9.05252	8.05347	-1.5049	5.14646	2.82953
54	Surface 13	27396	9.665	-180.0	-3.68	-497.537	-110.643	-3.36769	13.6922	9.81614	0.0767851	0.315173	0.463671
55	Surface 13	27402	9.665	173.888	-3.68	-498.039	-110.515	0.474293	13.4157	9.74592	-0.467658	1.32369	0.452068
56	Surface 13	27405	9.665	167.775	-3.68	-498.787	-110.234	1.75847	12.2634	9.53817	-1.00936	2.78945	0.515625
57	Surface 13	27410	9.665	161.663	-3.68	-500.179	-109.73	-2.69267	10.773	9.29449	-1.54121	4.74732	0.438865
58	Surface 13	27617	9.665	-180.0	-2.76	-409.44	-82.4129	-3.46157	15.105	8.63762	0.09493	0.21444	-1.85432
59	Surface 13	27622	9.665	173.888	-2.76	-409.807	-82.2475	0.226157	14.8421	8.59077	-0.48444	1.19896	-1.86113
60	Surface 13	27626	9.665	167.775	-2.76	-410.494	-82.0218	1.19858	13.6673	8.43222	-1.05961	2.55188	-1.77147
61	Surface 13	27630	9.665	161.663	-2.76	-411.801	-81.5776	-3.936	12.14	8.25321	-1.625	4.28764	-1.8163
62	Surface 13	27836	9.665	-180.0	-1.84	-316.552	-54.7869	-3.45953	16.3142	5.89325	0.108422	0.11247	-2.83589
63	Surface 13	27842	9.665	173.888	-1.84	-316.661	-54.4125	0.108305	16.0662	5.87589	-0.53475	1.05622	-2.83681
64	Surface 13	27846	9.665	167.775	-1.84	-317.212	-54.5279	0.764968	14.8671	5.78394	-1.16579	2.27605	-2.74241
65	Surface 13	27851	9.665	161.663	-1.84	-318.184	-54.052	-5.07804	13.3045	5.7026	-1.7776	3.76928	-2.75305
66	Surface 13	28057	9.665	-180.0	-0.92	-221.308	-27.2911	-2.7725	17.5634	2.80522	0.0925839	-8.3974E-3	-2.66163
67	Surface 13	28061	9.665	173.888	-0.92	-221.223	-27.0131	0.0896199	17.3255	2.80805	-0.497825	0.932418	-2.68694
68	Surface 13	28065	9.665	167.775	-0.92	-220.993	-27.1569	0.445221	16.0955	2.7776	-1.07534	2.02002	-2.62059
69	Surface 13	28071	9.665	161.663	-0.92	-221.805	-26.8882	-5.32261	14.4889	2.77655	-1.63684	3.19292	-2.67466
70	Surface 13	28275	9.665	-180.0	0.0	-127.999	-4.38624	-2.00759	18.6382	1.41163	0.0788174	-0.354723	-2.27007
71	Surface 13	28282	9.665	173.888	0.0	-125.429	-3.90374	0.0883187	18.4226	1.42188	-0.455032	2.38464	-2.33612
72	Surface 13	28286	9.665	167.775	0.0	-127.433	-4.36064	0.243017	17.1697	1.41619	-0.972475	5.10495	-2.27587
73	Surface 13	28291	9.665	161.663	0.0	-125.272	-3.75084	-4.8337	15.5638	1.44301	-1.49131	7.58894	-2.39117
74	Surface 14	27096	9.665	-172.251	-4.6	-580.028	-140.418	0.485622	11.3881	8.61113	0.729416	-2.2023	2.86151
75	Surface 14	27108	9.665	-180.0	-4.6	-579.684	-140.847	-3.19963	11.9176	8.65982	0.0522865	0.408349	2.91301
76	Surface 14	27389	9.665	-172.251	-3.68	-497.965	-110.33	1.04726	13.1158	9.76583	0.780752	-2.06128	0.411779
77	Surface 14	27396	9.665	-180.0	-3.68	-497.537	-110.643	-3.36769	13.6922	9.81614	0.0767851	0.315173	0.463671
78	Surface 14	27610	9.665	-172.251	-2.76	-409.972	-82.2135	1.6918	14.4804	8.591	0.845102	-1.90039	-1.8972
79	Surface 14	27617	9.665	-180.0	-2.76	-409.44	-82.4129	-3.46157	15.105	8.63762	0.09493	0.21444	-1.85432
80	Surface 14	27830	9.665	-172.251	-1.84	-317.117	-54.6981	2.37622	15.6412	5.86352	0.931524	-1.71396	-2.86591
81	Surface 14	27836	9.665	-180.0	-1.84	-316.552	-54.7869	-3.45953	16.3142	5.89325	0.108422	0.11247	-2.83589
82	Surface 14	28051	9.665	-172.251	-0.92	-221.929	-27.2665	2.43671	16.8369	2.79357	0.854835	-1.49442	-2.68846
83	Surface 14	28057	9.665	-180.0	-0.92	-221.308	-27.2911	-2.7725	17.5634	2.80522	0.0925839	-8.3974E-3	-2.66163
84	Surface 14	28271	9.665	-172.251	0.0	-128.842	-4.4104	2.10827	17.8923	1.4075	0.770333	-3.85918	-2.30035
85	Surface 14	28275	9.665	-180.0	0.0	-127.999	-4.38624	-2.00759	18.6382	1.41163	0.0788174	-0.354723	-2.27007
86	Surface 15	27087	9.665	-166.683	-4.6	-581.292	-139.744	-3.1285	10.2472	8.43214	1.12985	-4.72317	2.80616
87	Surface 15	27096	9.665	-172.251	-4.6	-580.028	-140.418	0.485622	11.3881	8.61113	0.729416	-2.2023	2.86151
88	Surface 15	27383	9.665	-166.683	-3.68	-499.272	-109.798	-2.5297	11.908	9.59887	1.19264	-4.34284	0.359704
89	Surface 15	27389	9.665	-172.251	-3.68	-497.965	-110.33	1.04726	13.1158	9.76583	0.780752	-2.06128	0.411779
90	Surface 15	27605	9.665	-166.683	-2.76	-411.307	-81.7277	-1.78032	13.2037	8.44533	1.28379	-3.92001	-1.93506
91	Surface 15	27610	9.665	-172.251	-2.76	-409.972	-82.2135	1.6918	14.4804	8.591	0.845102	-1.90039	-1.8972
92	Surface 15	27823	9.665	-166.683	-1.84	-318.434	-54.1648	-0.984041	14.296	5.76414	1.42003	-3.43706	-2.86936
93	Surface 15	27830	9.665	-172.251	-1.84	-317.117	-54.6981	2.37622	15.6412	5.86352	0.931524	-1.71396	-2.86591
94	Surface 15	28043	9.665	-166.683	-0.92	-222.774	-26.9146	-0.278962	15.4198	2.75614	1.30634	-2.9344	-2.69402
95	Surface 15	28051	9.665	-172.251	-0.92	-221.929	-27.2665	2.43671	16.8369	2.79357	0.854835	-1.49442	-2.68846
96	Surface 15	28265	9.665	-166.683	0.0	-127.708	-3.98828	0.0107236	16.4777	1.40808	1.17887	-6.45471	-2.33673
97	Surface 15	28271	9.665	-172.251	0.0	-128.842	-4.4104	2.10827	17.8923	1.4075	0.770333	-3.85918	-2.30035
98	Surface 17	27058	9.665	-159.181	-4.6	-583.409	-138.454	-6.03593	7.74518	8.00504	1.61124	-1.69233	2.71512
99	Surface 17	27069	9.665	-160.983	-4.6	-583.233	-138.802	-6.59332	8.41285	8.11766	1.49286	-2.85432	2.69913
100	Surface 17	27365	9.665	-159.181	-3.68	-501.456	-108.866	-5.3849	9.2913	9.21131	1.68531	-1.83443	0.273223
101	Surface 17	27372	9.665	-160.983	-3.68	-501.227	-109.103	-6.03643	9.98571	9.31041	1.56538	-2.82204	0.250011
102	Surface 17	27586	9.665	-159.181	-2.76	-413.58	-81.0126	-4.59367	10.4657	8.11624	1.81	-1.97735	-2.0052
103	Surface 17	27591	9.665	-160.983	-2.76	-413.343	-81.1847	-5.31033	11.1886	8.19766	1.68338	-2.77508	-2.03753
104	Surface 17	27807	9.665	-159.181	-1.84	-320.809	-53.5156	-3.56295	11.4371	5.53485	2.00158	-2.11081	-2.9006
105	Surface 17	27813	9.665	-160.983	-1.84	-320.276	-53.6302	-4.38202	12.1884	5.58751	1.86544	-2.70498	-2.95086
106	Surface 17	28026	9.665	-159.181	-0.92	-224.902	-26.5306	-2.32989	12.42	2.64191	1.84612	-2.21999	-2.7173
107	Surface 17	28031	9.665	-160.983	-0.92	-224.932	-26.7178	-3.3072	13.2114	2.65968	1.71675	-2.5958	-2.7847
108	Surface 17	28245	9.665	-159.181	0.0	-126.027	-3.18478	-1.6342	13.4796	1.36159	1.68383	-8.06813	-2.37647
109	Surface 17	28253	9.665	-160.983	0.0	-124.037	-2.9139	-2.9699	14.2616	1.3566	1.59334	-7.92358	-2.44975
110	Surface 24	27063	9.665	-20.819	-4.6	-583.982	-139.491	6.5107	7.50507	7.79413	-2.04338	1.88606	2.77392
111	Surface 24	27071	9.665	-19.0166	-4.6	-583.717	-139.679	6.94059	8.226	7.91485	-1.90673	3.04714	2.7699
112	Surface 24	27370	9.665	-20.819	-3.68	-501.811	-109.489	5.55754	9.13676	9.02262	-2.11134	2.06058	0.384784
113	Surface 24	27375	9.665	-19.0166	-3.68	-501.483	-109.614	6.10335	9.88893	9.13576	-1.97043	3.04071	0.367184
114	Surface 24	27589	9.665	-20.819	-2.76	-413.516	-81.3212	4.48064	10.4137	7.98538	-2.22191	2.2147	-1.85568
