	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
211	Line 25212	3941	8.9	139.878	-65.7	-22.0118	133.238	250.154	0.0	71.7214	-0.966511E-3
212	Line 25212	4008	9.665	134.329	-65.7	10.137	176.732	467.315	0.0	410.14	-69.3917E-6
213	Line 25212	3973	9.665	139.878	-65.7	-22.0118	133.238	250.154	0.0	71.7214	-0.966511E-3
214	Line 25213	3941	8.9	139.878	-65.7	-22.0118	133.238	250.154	0.0	71.7214	-0.966511E-3
215	Line 25213	3926	8.9	142.018	-65.7	-81.1012	227.704	346.299	0.0	105.884	-0.187049E-3
216	Line 25213	3973	9.665	139.878	-65.7	-22.0118	133.238	250.154	0.0	71.7214	-0.966511E-3
217	Line 25213	3952	9.665	142.018	-65.7	-81.1012	227.704	346.299	0.0	105.884	-0.187049E-3
218	Line 25214	2942	8.9	-78.9947	-65.7	59.3261	-31.6826	237.279	0.0	256.111	1.76771E-3
219	Line 25214	2958	8.9	-73.4357	-65.7	175.158	-96.1026	525.608	0.0	486.586	2.17455E-3
220	Line 25214	2912	9.665	-78.9947	-65.7	59.3261	-31.6826	237.279	0.0	256.111	1.76771E-3
221	Line 25214	2923	9.665	-73.4357	-65.7	175.158	-96.1026	525.608	0.0	486.586	2.17455E-3
222	Line 25214	2975	8.9	-67.877	-65.7	142.021	-108.868	544.484	0.0	545.312	1.92398E-3
