	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
143	Line 25167	3799	8.9	151.879	-65.7	-97.6972	175.302	114.864	0.0	-29.2526	0.105774E-3
144	Line 25167	3876	9.665	149.628	-65.7	-103.886	183.913	148.816	0.0	-28.4709	-47.8459E-6
145	Line 25167	3849	9.665	151.879	-65.7	-97.6972	175.302	114.864	0.0	-29.2526	0.105774E-3
146	Line 25168	3799	8.9	151.879	-65.7	-97.6972	175.302	114.864	0.0	-29.2526	0.105774E-3
147	Line 25168	3783	8.9	153.466	-65.7	-100.423	184.161	102.795	0.0	-39.3339	-29.6198E-6
148	Line 25168	3849	9.665	151.879	-65.7	-97.6972	175.302	114.864	0.0	-29.2526	0.105774E-3
149	Line 25168	3815	9.665	153.466	-65.7	-100.423	184.161	102.795	0.0	-39.3339	-29.6198E-6
150	Line 25169	3734	8.9	155.788	-65.7	-82.8663	159.901	75.9978	0.0	-27.8452	0.100018E-3
151	Line 25169	3720	8.9	156.815	-65.7	-82.9805	161.084	64.9094	0.0	-19.4396	-0.152101E-3
152	Line 25169	3773	9.665	155.788	-65.7	-82.8663	159.901	75.9978	0.0	-27.8452	0.100018E-3
153	Line 25169	3756	9.665	156.815	-65.7	-82.9805	161.084	64.9094	0.0	-19.4396	-0.152101E-3
154	Line 25170	3720	8.9	156.815	-65.7	-82.9805	161.084	64.9094	0.0	-19.4396	-0.152101E-3
155	Line 25170	3685	8.9	159.181	-65.7	-113.414	222.028	44.2486	0.0	-68.235	0.646237E-3
156	Line 25170	3756	9.665	156.815	-65.7	-82.9805	161.084	64.9094	0.0	-19.4396	-0.152101E-3
157	Line 25170	3707	9.665	159.181	-65.7	-113.414	222.028	44.2486	0.0	-68.235	0.646237E-3
158	Line 25171	3685	8.9	159.181	-65.7	-113.414	222.028	44.2486	0.0	-68.235	0.646237E-3
159	Line 25171	3646	8.9	161.663	-65.7	-188.114	355.721	-168.159	0.0	-42.0589	-0.513143E-3
160	Line 25171	3707	9.665	159.181	-65.7	-113.414	222.028	44.2486	0.0	-68.235	0.646237E-3
161	Line 25171	3668	9.665	161.663	-65.7	-188.114	355.721	-168.159	0.0	-42.0589	-0.513143E-3
162	Line 25206	2993	8.9	-62.318	-65.7	-27.182	-53.5657	313.447	0.0	79.9578	52.8109E-6
163	Line 25206	2953	9.665	-62.318	-65.7	-27.182	-53.5657	313.447	0.0	79.9578	52.8109E-6
164	Line 25206	3017	8.9	-56.769	-65.7	-54.999	-104.883	654.251	0.0	155.386	1.65554E-3
165	Line 25206	2984	9.665	-56.769	-65.7	-54.999	-104.883	654.251	0.0	155.386	1.65554E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	-0.452172	-116.75	629.411	0.0	170.421	1.47958E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	88.2405	-99.7835	652.144	0.0	136.9	-1.04556E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	-0.452172	-116.75	629.411	0.0	170.421	1.47958E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	88.2405	-99.7835	652.144	0.0	136.9	-1.04556E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	12.3859	36.9807	290.472	0.0	15.0378	-0.138397E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	12.3859	36.9807	290.472	0.0	15.0378	-0.138397E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	12.3859	36.9807	290.472	0.0	15.0378	-0.138397E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	12.3859	36.9807	290.472	0.0	15.0378	-0.138397E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	-52.1062	129.302	339.073	0.0	48.513	0.258394E-3
175	Line 25207	3102	9.665	-37.9822	-65.7	-52.1062	129.302	339.073	0.0	48.513	0.258394E-3
176	Line 25208	3942	8.9	40.1221	-65.7	-42.0834	-117.756	264.903	0.0	-11.5776	-0.130802E-3
177	Line 25208	3979	9.665	40.1221	-65.7	-42.0834	-117.756	264.903	0.0	-11.5776	-0.130802E-3
178	Line 25208	3987	8.9	45.6711	-65.7	-9.25305	-170.391	538.616	0.0	23.1874	-1.14741E-3
179	Line 25208	4012	9.665	45.6711	-65.7	-9.25305	-170.391	538.616	0.0	23.1874	-1.14741E-3
180	Line 25208	4015	8.9	51.2201	-65.7	-19.524	-184.274	483.414	0.0	16.9992	-1.13376E-3
181	Line 25208	4042	9.665	51.2201	-65.7	-19.524	-184.274	483.414	0.0	16.9992	-1.13376E-3
182	Line 25208	4059	8.9	62.318	-65.7	16.6481	-108.34	168.801	0.0	3.80577	50.3946E-6
183	Line 25208	4038	8.9	56.769	-65.7	-15.1245	-203.979	455.603	0.0	-32.3792	-7.61293E-3
184	Line 25208	4071	9.665	56.769	-65.7	-15.1245	-203.979	455.603	0.0	-32.3792	-7.61293E-3
185	Line 25208	4104	9.665	62.318	-65.7	16.6481	-108.34	168.801	0.0	3.80577	50.3946E-6
186	Line 25209	3942	8.9	40.1221	-65.7	-42.0834	-117.756	264.903	0.0	-11.5776	-0.130802E-3
187	Line 25209	3927	8.9	37.9822	-65.7	-117.702	-209.045	341.633	0.0	27.4605	-1.78775E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-117.702	-209.045	341.633	0.0	27.4605	-1.78775E-3
189	Line 25209	3979	9.665	40.1221	-65.7	-42.0834	-117.756	264.903	0.0	-11.5776	-0.130802E-3
190	Line 25210	3111	8.9	-139.878	-65.7	-31.0962	-24.9925	320.032	0.0	14.5859	0.171397E-3
191	Line 25210	3075	9.665	-139.878	-65.7	-31.0962	-24.9925	320.032	0.0	14.5859	0.171397E-3
192	Line 25210	3064	8.9	-134.329	-65.7	8.05437	135.115	725.674	0.0	122.804	-0.500892E-3
193	Line 25210	3040	9.665	-134.329	-65.7	8.05437	135.115	725.674	0.0	122.804	-0.500892E-3
194	Line 25210	3016	8.9	-123.231	-65.7	-36.4276	127.415	734.075	0.0	66.8935	-2.10165E-3
195	Line 25210	3036	8.9	-128.78	-65.7	4.14379	152.193	719.691	0.0	88.6555	-0.981032E-3
196	Line 25210	3010	9.665	-128.78	-65.7	4.14379	152.193	719.691	0.0	88.6555	-0.981032E-3
197	Line 25210	2992	8.9	-117.682	-65.7	-29.8648	55.2067	341.447	0.0	47.1051	-4.60277E-6
198	Line 25210	2981	9.665	-123.231	-65.7	-36.4276	127.415	734.075	0.0	66.8935	-2.10165E-3
199	Line 25210	2947	9.665	-117.682	-65.7	-29.8648	55.2067	341.447	0.0	47.1051	-4.60277E-6
200	Line 25211	3129	8.9	-142.018	-65.7	-97.6266	-119.315	372.686	0.0	53.1455	-0.832475E-3
201	Line 25211	3111	8.9	-139.878	-65.7	-31.0962	-24.9925	320.032	0.0	14.5859	0.171397E-3
202	Line 25211	3097	9.665	-142.018	-65.7	-97.6266	-119.315	372.686	0.0	53.1455	-0.832475E-3
203	Line 25211	3075	9.665	-139.878	-65.7	-31.0962	-24.9925	320.032	0.0	14.5859	0.171397E-3
204	Line 25212	4058	8.9	117.682	-65.7	18.642	72.6052	148.574	0.0	0.187989	-76.1962E-6
205	Line 25212	4037	8.9	123.231	-65.7	-50.3592	127.652	373.514	0.0	28.0745	0.766597E-3
206	Line 25212	4100	9.665	117.682	-65.7	18.642	72.6052	148.574	0.0	0.187989	-76.1962E-6
207	Line 25212	4067	9.665	123.231	-65.7	-50.3592	127.652	373.514	0.0	28.0745	0.766597E-3
