	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
144	Surface 27	28272	9.665	-7.74887	0.0	-464.242	-4.54984	-2.27788	6.78199	1.37351	-0.490188	3.29571	-2.35905
145	Surface 27	28280	9.665	0.0	0.0	-464.092	-4.54761	1.79541	7.15147	1.36918	0.023751	-0.38819	-2.33458
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.33653E3	-318.59	3.62224	-19.43	-58.1258	0.0388065	-1.03092	29.6635
147	Surface 30	25882	9.665	6.11244	-9.9	-1.33685E3	-318.262	-1.6664	-19.5446	-58.1494	0.410395	-1.85441	29.5945
148	Surface 30	25889	9.665	12.2246	-9.9	-1.33743E3	-317.837	-3.26187	-19.9819	-58.2581	0.784245	-4.09953	29.6444
149	Surface 30	25897	9.665	18.3371	-9.9	-1.33832E3	-316.783	3.20855	-20.5928	-58.3894	1.18311	-8.01268	29.4826
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-1.21658E3	-281.773	2.78554	-13.0498	-35.749	0.0279247	-0.930661	22.9098
151	Surface 30	26168	9.665	6.11242	-8.84	-1.21703E3	-281.474	-1.53575	-13.1736	-35.7748	0.403893	-1.73953	22.851
152	Surface 30	26171	9.665	12.2246	-8.84	-1.21758E3	-281.09	-3.01365	-13.6547	-35.8835	0.774777	-3.83585	22.8796
153	Surface 30	26177	9.665	18.3371	-8.84	-1.21865E3	-280.161	1.69281	-14.3134	-36.0203	1.15063	-7.44237	22.7337
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-1.12588E3	-245.28	2.2219	-7.63638	-16.3656	0.0197519	-0.853706	14.4128
155	Surface 30	26387	9.665	6.11241	-7.78	-1.12645E3	-245.024	-1.4137	-7.77017	-16.3935	0.400509	-1.66383	14.362
156	Surface 30	26392	9.665	12.2246	-7.78	-1.12699E3	-244.68	-2.77789	-8.29469	-16.5049	0.770078	-3.65785	14.374
157	Surface 30	26396	9.665	18.3371	-7.78	-1.12825E3	-243.898	0.784669	-9.00199	-16.6494	1.13008	-7.04066	14.2408
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-1.04728E3	-209.315	2.01093	-3.91056	-4.68585	0.0165309	-0.788876	8.37405
159	Surface 30	26608	9.665	6.11241	-6.72	-1.04792E3	-209.102	-1.27549	-4.05544	-4.71571	0.399137	-1.60481	8.32708
160	Surface 30	26612	9.665	12.2246	-6.72	-1.04848E3	-208.804	-2.50726	-4.62416	-4.83244	0.768294	-3.5159	8.33361
161	Surface 30	26618	9.665	18.3371	-6.72	-1.04986E3	-208.161	0.730467	-5.3821	-4.98551	1.12309	-6.71106	8.20912
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-971.083	-173.758	2.00079	-1.13856	2.3632	0.0165554	-0.727218	5.67811
163	Surface 30	26827	9.665	6.11242	-5.66	-971.76	-173.583	-1.10799	-1.29494	2.33247	0.399375	-1.54753	5.63366
164	Surface 30	26832	9.665	12.2246	-5.66	-972.346	-173.326	-2.18122	-1.90714	2.21171	0.768982	-3.3781	5.64349
165	Surface 30	26838	9.665	18.3371	-5.66	-973.794	-172.805	1.19839	-2.7155	2.05402	1.12545	-6.39161	5.52912
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-892.139	-139.361	2.11313	1.21178	7.1145	0.0188876	-0.664505	4.21752
167	Surface 30	27118	9.665	6.11244	-4.6	-892.823	-139.21	-0.913109	1.04426	7.08497	0.402967	-1.48203	4.17544
168	Surface 30	27124	9.665	12.2246	-4.6	-893.439	-138.982	-1.80444	0.390605	6.9645	0.775612	-3.22387	4.19459
169	Surface 30	27135	9.665	18.3371	-4.6	-894.928	-138.549	2.00943	-0.465766	6.81066	1.14006	-6.04538	4.09364
170	Surface 31	25897	9.665	18.3371	-9.9	-1.33832E3	-316.783	3.20855	-20.5928	-58.3894	1.18311	-8.01268	29.4826
171	Surface 31	25909	9.665	20.819	-9.9	-1.33914E3	-316.148	-5.11386	-21.1167	-58.4983	1.24017	-6.08811	29.4521
172	Surface 31	26177	9.665	18.3371	-8.84	-1.21865E3	-280.161	1.69281	-14.3134	-36.0203	1.15063	-7.44237	22.7337
173	Surface 31	26182	9.665	20.819	-8.84	-1.21967E3	-279.626	-4.76478	-14.8737	-36.1358	1.22663	-5.72017	22.7059
174	Surface 31	26396	9.665	18.3371	-7.78	-1.12825E3	-243.898	0.784669	-9.00199	-16.6494	1.13008	-7.04066	14.2408
175	Surface 31	26403	9.665	20.819	-7.78	-1.12945E3	-243.474	-4.40107	-9.59956	-16.7713	1.21881	-5.47088	14.2143
176	Surface 31	26618	9.665	18.3371	-6.72	-1.04986E3	-208.161	0.730467	-5.3821	-4.98551	1.12309	-6.71106	8.20912
177	Surface 31	26622	9.665	20.819	-6.72	-1.05116E3	-207.837	-3.96389	-6.0184	-5.11364	1.21627	-5.27013	8.18259
178	Surface 31	26838	9.665	18.3371	-5.66	-973.794	-172.805	1.19839	-2.7155	2.05402	1.12545	-6.39161	5.52912
179	Surface 31	26844	9.665	20.819	-5.66	-975.155	-172.567	-3.44233	-3.39076	1.92166	1.21939	-5.07413	5.50266
180	Surface 31	27135	9.665	18.3371	-4.6	-894.928	-138.549	2.00943	-0.465766	6.81066	1.14006	-6.04538	4.09364
181	Surface 31	27142	9.665	20.819	-4.6	-896.314	-138.374	-2.84623	-1.17892	6.67798	1.23329	-4.85547	4.06836
