	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
115	Surface 24	27594	9.665	-19.0166	-2.76	-298.748	-80.9586	3.31727	5.53891	6.81395	-1.13672	1.54251	-1.70033
116	Surface 24	27810	9.665	-20.819	-1.84	-203.783	-53.4421	2.00785	6.18526	4.64473	-1.32773	1.07326	-2.39548
117	Surface 24	27814	9.665	-19.0166	-1.84	-203.438	-53.5141	2.87983	6.5756	4.67581	-1.21657	1.44452	-2.45581
118	Surface 24	28029	9.665	-20.819	-0.92	-105.369	-26.5131	1.49979	7.19592	2.24398	-1.19432	1.16973	-2.30759
119	Surface 24	28036	9.665	-19.0166	-0.92	-105.707	-26.6873	2.52352	7.60848	2.25473	-1.09368	1.31372	-2.37532
120	Surface 24	28248	9.665	-20.819	0.0	-3.31106	-2.83032	1.29592	8.31166	1.19637	-1.06043	4.87167	-2.0865
121	Surface 24	28255	9.665	-19.0166	0.0	-1.66741	-2.54675	2.69407	8.71106	1.19389	-0.984094	4.58136	-2.1541
122	Surface 26	27090	9.665	-13.3169	-4.6	-472.181	-138.537	0.899126	3.73936	6.80445	-0.785449	3.35331	2.47697
123	Surface 26	27104	9.665	-7.74887	-4.6	-471.209	-138.828	-2.23871	4.31002	6.91515	-0.489414	1.53079	2.50633
124	Surface 26	27388	9.665	-13.3169	-3.68	-387.581	-109.032	0.477079	5.30875	7.88034	-0.797537	2.93178	0.329994
125	Surface 26	27394	9.665	-7.74887	-3.68	-386.651	-109.333	-2.68063	5.90987	7.98547	-0.498036	1.35284	0.348838
126	Surface 26	27606	9.665	-13.3169	-2.76	-297.393	-81.2937	0.0112202	6.56219	6.96052	-0.82645	2.46295	-1.60398
127	Surface 26	27612	9.665	-7.74887	-2.76	-296.564	-81.6686	-3.11008	7.19114	7.04905	-0.517098	1.15051	-1.6014
128	Surface 26	27827	9.665	-13.3169	-1.84	-202.504	-53.9771	-0.34463	7.63911	4.77326	-0.887228	1.93606	-2.37836
129	Surface 26	27833	9.665	-7.74887	-1.84	-201.874	-54.4826	-3.46014	8.29337	4.82451	-0.555428	0.925328	-2.40102
130	Surface 26	28046	9.665	-13.3169	-0.92	-104.73	-26.88	-0.427411	8.72181	2.30009	-0.803647	1.39425	-2.28025
131	Surface 26	28053	9.665	-7.74887	-0.92	-104.808	-27.2362	-3.03902	9.4077	2.31091	-0.508678	0.674555	-2.27896
132	Surface 26	28268	9.665	-13.3169	0.0	-7.01449	-3.7012	-0.314337	9.80955	1.20954	-0.711899	3.30878	-2.03191
133	Surface 26	28272	9.665	-7.74887	0.0	-9.33287	-4.15393	-2.39382	10.4785	1.1982	-0.455537	1.98288	-1.98566
134	Surface 27	27104	9.665	-7.74887	-4.6	-471.209	-138.828	-2.23871	4.31002	6.91515	-0.489414	1.53079	2.50633
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-470.931	-138.999	2.43151	4.57049	6.96692	0.0256095	-0.32994	2.52317
136	Surface 27	27394	9.665	-7.74887	-3.68	-386.651	-109.333	-2.68063	5.90987	7.98547	-0.498036	1.35284	0.348838
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-386.371	-109.5	2.58887	6.18304	8.03323	0.0290122	-0.264448	0.356851
138	Surface 27	27612	9.665	-7.74887	-2.76	-296.564	-81.6686	-3.11008	7.19114	7.04905	-0.517098	1.15051	-1.6014
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-296.301	-81.799	2.74108	7.47497	7.08372	0.0316156	-0.196406	-1.60461
140	Surface 27	27833	9.665	-7.74887	-1.84	-201.874	-54.4826	-3.46014	8.29337	4.82451	-0.555428	0.925328	-2.40102
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-201.747	-54.5457	2.89845	8.58774	4.83717	0.0319429	-0.126294	-2.40677
142	Surface 27	28053	9.665	-7.74887	-0.92	-104.808	-27.2362	-3.03902	9.4077	2.31091	-0.508678	0.674555	-2.27896
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-104.823	-27.2562	2.47776	9.71858	2.30885	0.0319139	-0.0263063	-2.2674
144	Surface 27	28272	9.665	-7.74887	0.0	-9.33287	-4.15393	-2.39382	10.4785	1.1982	-0.455537	1.98288	-1.98566
145	Surface 27	28280	9.665	0.0	0.0	-9.30943	-4.14852	1.88884	10.7962	1.19325	0.0299969	-0.0468162	-1.95956
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-952.427	-316.047	3.45555	-13.6673	-44.3981	0.0393076	-0.722024	23.7354
147	Surface 30	25882	9.665	6.11244	-9.9	-952.628	-315.776	-1.41307	-13.7631	-44.4188	0.397873	-1.32945	23.6689
148	Surface 30	25889	9.665	12.2246	-9.9	-953.06	-315.384	-2.76653	-14.117	-44.5084	0.757933	-2.9286	23.7128
149	Surface 30	25897	9.665	18.3371	-9.9	-953.667	-314.475	3.57476	-14.605	-44.617	1.14196	-5.68789	23.5583
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-834.237	-280.184	2.82335	-8.23603	-26.5821	0.0310192	-0.624566	18.3101
151	Surface 30	26168	9.665	6.11242	-8.84	-834.527	-279.941	-1.30303	-8.34159	-26.6053	0.391859	-1.21772	18.2516
152	Surface 30	26171	9.665	12.2246	-8.84	-834.935	-279.584	-2.5597	-8.73867	-26.6968	0.748707	-2.67076	18.2796
153	Surface 30	26177	9.665	18.3371	-8.84	-835.663	-278.783	2.45116	-9.27425	-26.8123	1.11451	-5.12811	18.1377
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-737.966	-244.139	2.4117	-3.53819	-11.0414	0.0248209	-0.544492	11.738
155	Surface 30	26387	9.665	6.11241	-7.78	-738.342	-243.933	-1.20122	-3.65405	-11.0669	0.388014	-1.13515	11.6857
156	Surface 30	26392	9.665	12.2246	-7.78	-738.735	-243.611	-2.36508	-4.09381	-11.1624	0.742813	-2.47696	11.7017
157	Surface 30	26396	9.665	18.3371	-7.78	-739.59	-242.935	1.81585	-4.67752	-11.2862	1.09612	-4.69461	11.5696
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-649.951	-208.518	2.28349	-0.157421	-1.58104	0.0226349	-0.472756	6.83575
159	Surface 30	26608	9.665	6.11241	-6.72	-650.37	-208.348	-1.08632	-0.284419	-1.60862	0.385749	-1.06388	6.78619
160	Surface 30	26612	9.665	12.2246	-6.72	-650.774	-208.064	-2.14157	-0.767335	-1.7099	0.739188	-2.30772	6.79874
161	Surface 30	26618	9.665	18.3371	-6.72	-651.701	-207.505	1.87064	-1.40055	-1.84234	1.08859	-4.31035	6.67293
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-562.278	-173.25	2.31565	2.41507	3.85515	0.0231806	-0.40233	4.14615
163	Surface 30	26827	9.665	6.11242	-5.66	-562.708	-173.111	-0.946976	2.2766	3.82649	0.384798	-0.991997	4.09814
164	Surface 30	26832	9.665	12.2246	-5.66	-563.129	-172.859	-1.8714	1.75119	3.72034	0.7375	-2.1374	4.1141
165	Surface 30	26838	9.665	18.3371	-5.66	-564.088	-172.4	2.34803	1.06875	3.58235	1.08853	-3.92542	3.99566
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-470.931	-138.999	2.43151	4.57049	6.96692	0.0256095	-0.32994	2.52317
167	Surface 30	27118	9.665	6.11244	-4.6	-471.345	-138.878	-0.782624	4.42079	6.93891	0.386506	-0.911654	2.47701
168	Surface 30	27124	9.665	12.2246	-4.6	-471.789	-138.645	-1.5549	3.85477	6.8313	0.740436	-1.94975	2.50137
169	Surface 30	27135	9.665	18.3371	-4.6	-472.75	-138.255	3.07635	3.12523	6.69472	1.09781	-3.51084	2.39402
170	Surface 31	25897	9.665	18.3371	-9.9	-953.667	-314.475	3.57476	-14.605	-44.617	1.14196	-5.68789	23.5583
171	Surface 31	25909	9.665	20.819	-9.9	-954.228	-313.94	-4.30543	-15.0204	-44.7057	1.19712	-4.35733	23.5244
172	Surface 31	26177	9.665	18.3371	-8.84	-835.663	-278.783	2.45116	-9.27425	-26.8123	1.11451	-5.12811	18.1377
173	Surface 31	26182	9.665	20.819	-8.84	-836.36	-278.333	-4.01303	-9.72586	-26.908	1.1836	-3.9954	18.1059
174	Surface 31	26396	9.665	18.3371	-7.78	-739.59	-242.935	1.81585	-4.67752	-11.2862	1.09612	-4.69461	11.5696
175	Surface 31	26403	9.665	20.819	-7.78	-740.41	-242.58	-3.71357	-5.16591	-11.3884	1.1741	-3.72208	11.5388
176	Surface 31	26618	9.665	18.3371	-6.72	-651.701	-207.505	1.87064	-1.40055	-1.84234	1.08859	-4.31035	6.67293
177	Surface 31	26622	9.665	20.819	-6.72	-652.582	-207.235	-3.35365	-1.92673	-1.95099	1.16875	-3.48159	6.64176
178	Surface 31	26838	9.665	18.3371	-5.66	-564.088	-172.4	2.34803	1.06875	3.58235	1.08853	-3.92542	3.99566
179	Surface 31	26844	9.665	20.819	-5.66	-564.987	-172.201	-2.92281	0.504666	3.46892	1.16788	-3.23861	3.96426
180	Surface 31	27135	9.665	18.3371	-4.6	-472.75	-138.255	3.07635	3.12523	6.69472	1.09781	-3.51084	2.39402
181	Surface 31	27142	9.665	20.819	-4.6	-473.637	-138.107	-2.42598	2.52411	6.57978	1.17555	-2.97168	2.36357
182	Surface 40	25891	9.665	161.663	-9.9	-953.612	-314.505	-3.63702	-14.5392	-44.6022	-1.1477	5.66453	23.5611
