	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
64	Surface 13	27846	9.665	167.775	-1.84	-327.093	-54.1726	0.078493	-2.99719	4.11424	-0.0455379	0.798579	-2.46823
65	Surface 13	27851	9.665	161.663	-1.84	-327.271	-53.7677	-6.25953	-2.95559	4.1405	-0.113971	1.70821	-2.52228
66	Surface 13	28057	9.665	-180.0	-0.92	-231.384	-27.284	-2.43476	-2.33987	1.88467	-0.0534258	0.159633	-2.18435
67	Surface 13	28061	9.665	173.888	-0.92	-231.497	-27.0076	0.157172	-2.33044	1.89127	-0.0408313	0.241879	-2.23231
68	Surface 13	28065	9.665	167.775	-0.92	-230.787	-27.1567	0.245394	-2.2933	1.91982	-0.050143	0.566986	-2.20455
69	Surface 13	28071	9.665	161.663	-0.92	-230.879	-26.9131	-5.76635	-2.26899	1.94796	-0.125859	1.16342	-2.30229
70	Surface 13	28275	9.665	-180.0	0.0	-136.099	-4.17411	-1.86916	-1.37162	0.975603	-0.0507983	0.266213	-1.80211
71	Surface 13	28282	9.665	173.888	0.0	-133.825	-3.69782	0.178564	-1.34531	0.984876	-0.0352815	0.273864	-1.87894
72	Surface 13	28286	9.665	167.775	0.0	-135.638	-4.19577	0.261709	-1.3319	1.00085	-0.0449625	0.514568	-1.85856
73	Surface 13	28291	9.665	161.663	0.0	-132.899	-3.61465	-4.91567	-1.29442	1.02668	-0.123723	1.00753	-2.0036
74	Surface 14	27096	9.665	-172.251	-4.6	-588.328	-137.201	3.10838	-5.89182	5.33244	0.0337739	-1.35539	2.59566
75	Surface 14	27108	9.665	-180.0	-4.6	-588.154	-137.297	-2.25431	-5.90393	5.33462	-0.0456234	0.450718	2.59943
76	Surface 14	27389	9.665	-172.251	-3.68	-506.937	-108.354	3.3792	-4.64799	6.77547	0.0342291	-1.16977	0.316998
77	Surface 14	27396	9.665	-180.0	-3.68	-506.778	-108.476	-2.43327	-4.65999	6.77688	-0.0493013	0.389622	0.315736
78	Surface 14	27610	9.665	-172.251	-2.76	-419.525	-81.1885	3.62298	-3.75096	6.08214	0.0371078	-0.964157	-1.77319
79	Surface 14	27617	9.665	-180.0	-2.76	-419.402	-81.2952	-2.6162	-3.76439	6.07764	-0.0521864	0.325351	-1.78033
80	Surface 14	27830	9.665	-172.251	-1.84	-326.913	-54.3411	3.76649	-3.045	4.09112	0.0471004	-0.742189	-2.48917
81	Surface 14	27836	9.665	-180.0	-1.84	-326.943	-54.3952	-2.81116	-3.05935	4.0773	-0.0538064	0.258641	-2.49242
82	Surface 14	28051	9.665	-172.251	-0.92	-231.203	-27.2652	3.15065	-2.33034	1.89916	0.0605097	-0.493886	-2.20162
83	Surface 14	28057	9.665	-180.0	-0.92	-231.384	-27.284	-2.43476	-2.33987	1.88467	-0.0534258	0.159633	-2.18435
84	Surface 14	28271	9.665	-172.251	0.0	-135.974	-4.18185	2.40444	-1.36591	0.98619	0.0640893	-0.520153	-1.83372
85	Surface 14	28275	9.665	-180.0	0.0	-136.099	-4.17411	-1.86916	-1.37162	0.975603	-0.0507983	0.266213	-1.80211
86	Surface 15	27087	9.665	-166.683	-4.6	-589.139	-137.03	0.836342	-5.8535	5.33531	5.30809E-3	-3.18078	2.59475
87	Surface 15	27096	9.665	-172.251	-4.6	-588.328	-137.201	3.10838	-5.89182	5.33244	0.0337739	-1.35539	2.59566
88	Surface 15	27383	9.665	-166.683	-3.68	-507.675	-108.122	0.934758	-4.61335	6.77764	2.90959E-3	-2.75009	0.319391
89	Surface 15	27389	9.665	-172.251	-3.68	-506.937	-108.354	3.3792	-4.64799	6.77547	0.0342291	-1.16977	0.316998
90	Surface 15	27605	9.665	-166.683	-2.76	-420.126	-80.8449	1.03765	-3.71834	6.08671	3.19621E-3	-2.2794	-1.7653
