	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
49	Surface 12	28296	9.665	159.181	0.0	-129.688	-2.99062	0.453037	-1.23609	1.03593	-0.0346324	0.659682	-2.0331
50	Surface 13	27108	9.665	-180.0	-4.6	-588.144	-137.299	-2.25899	-5.88351	5.3377	-0.0435216	0.448336	2.59928
51	Surface 13	27116	9.665	173.888	-4.6	-588.547	-137.207	-0.0274495	-5.85498	5.34368	-0.0275702	0.64382	2.56388
52	Surface 13	27123	9.665	167.775	-4.6	-588.726	-137.087	-0.0508808	-5.79312	5.35158	-0.0301636	1.47528	2.60632
53	Surface 13	27127	9.665	161.663	-4.6	-589.445	-136.895	-5.10476	-5.73811	5.35803	-0.0875889	3.07117	2.54509
54	Surface 13	27396	9.665	-180.0	-3.68	-506.768	-108.477	-2.43709	-4.63953	6.77963	-0.0471737	0.387183	0.315406
55	Surface 13	27402	9.665	173.888	-3.68	-507.131	-108.369	-0.0425852	-4.61388	6.78565	-0.027081	0.554092	0.279738
56	Surface 13	27405	9.665	167.775	-3.68	-507.29	-108.211	-0.0752711	-4.55856	6.79394	-0.0286076	1.27243	0.329595
57	Surface 13	27410	9.665	161.663	-3.68	-507.935	-107.971	-5.54652	-4.50906	6.80131	-0.0914884	2.65414	0.270928
58	Surface 13	27617	9.665	-180.0	-2.76	-419.392	-81.2955	-2.61903	-3.74388	6.07987	-0.049985	0.322878	-1.78086
59	Surface 13	27622	9.665	173.888	-2.76	-419.693	-81.1517	-0.0388899	-3.72147	6.0846	-0.0293483	0.452746	-1.81984
60	Surface 13	27626	9.665	167.775	-2.76	-419.792	-80.9887	-0.0681564	-3.66979	6.10212	-0.031485	1.04614	-1.75596
61	Surface 13	27630	9.665	161.663	-2.76	-420.314	-80.6985	-5.96778	-3.62493	6.11463	-0.0988683	2.1975	-1.81322
62	Surface 13	27836	9.665	-180.0	-1.84	-326.934	-54.3952	-2.81285	-3.03879	4.0788	-0.0514621	0.256167	-2.4931
63	Surface 13	27842	9.665	173.888	-1.84	-327.086	-54.0304	0.0586225	-3.01803	4.08515	-0.0373974	0.340214	-2.52913
64	Surface 13	27846	9.665	167.775	-1.84	-327.082	-54.1726	0.0774749	-2.97303	4.11616	-0.0438768	0.797989	-2.46889
65	Surface 13	27851	9.665	161.663	-1.84	-327.26	-53.7679	-6.26011	-2.93117	4.14252	-0.112737	1.7084	-2.5229
66	Surface 13	28057	9.665	-180.0	-0.92	-231.377	-27.2838	-2.43535	-2.3192	1.88537	-0.0513295	0.157185	-2.18496
67	Surface 13	28061	9.665	173.888	-0.92	-231.488	-27.0075	0.156577	-2.30721	1.89213	-0.0390487	0.240354	-2.23297
68	Surface 13	28065	9.665	167.775	-0.92	-230.778	-27.1565	0.244907	-2.26885	1.92076	-0.0487504	0.566375	-2.20523
69	Surface 13	28071	9.665	161.663	-0.92	-230.869	-26.913	-5.76656	-2.2442	1.94897	-0.124876	1.16358	-2.30295
70	Surface 13	28275	9.665	-180.0	0.0	-136.097	-4.17453	-1.8692	-1.35099	0.975915	-0.0489389	0.257541	-1.80259
71	Surface 13	28282	9.665	173.888	0.0	-133.821	-3.69828	0.178428	-1.3221	0.985258	-0.0337389	0.267242	-1.87949
72	Surface 13	28286	9.665	167.775	0.0	-135.633	-4.19619	0.261558	-1.30744	1.00128	-0.0438127	0.510216	-1.85913
73	Surface 13	28291	9.665	161.663	0.0	-132.893	-3.61508	-4.91562	-1.2696	1.02715	-0.122957	1.00524	-2.00418
74	Surface 14	27096	9.665	-172.251	-4.6	-588.32	-137.202	3.10248	-5.87466	5.33491	0.0359022	-1.35864	2.59545
75	Surface 14	27108	9.665	-180.0	-4.6	-588.144	-137.299	-2.25899	-5.88351	5.3377	-0.0435216	0.448336	2.59928
76	Surface 14	27389	9.665	-172.251	-3.68	-506.928	-108.355	3.37447	-4.63089	6.77769	0.0364234	-1.17307	0.31663
77	Surface 14	27396	9.665	-180.0	-3.68	-506.768	-108.477	-2.43709	-4.63953	6.77963	-0.0471737	0.387183	0.315406
78	Surface 14	27610	9.665	-172.251	-2.76	-419.517	-81.1887	3.61953	-3.73392	6.08393	0.0394324	-0.967467	-1.77371
79	Surface 14	27617	9.665	-180.0	-2.76	-419.392	-81.2955	-2.61903	-3.74388	6.07987	-0.049985	0.322878	-1.78086
80	Surface 14	27830	9.665	-172.251	-1.84	-326.906	-54.3411	3.7644	-3.02801	4.09232	0.0496465	-0.745475	-2.48978
81	Surface 14	27836	9.665	-180.0	-1.84	-326.934	-54.3952	-2.81285	-3.03879	4.0788	-0.0514621	0.256167	-2.4931
82	Surface 14	28051	9.665	-172.251	-0.92	-231.198	-27.265	3.14981	-2.31334	1.89972	0.0628349	-0.49713	-2.20215
83	Surface 14	28057	9.665	-180.0	-0.92	-231.377	-27.2838	-2.43535	-2.3192	1.88537	-0.0513295	0.157185	-2.18496
84	Surface 14	28271	9.665	-172.251	0.0	-135.973	-4.18224	2.40424	-1.34899	0.986432	0.0661976	-0.530493	-1.83414
85	Surface 14	28275	9.665	-180.0	0.0	-136.097	-4.17453	-1.8692	-1.35099	0.975915	-0.0489389	0.257541	-1.80259
86	Surface 15	27087	9.665	-166.683	-4.6	-589.132	-137.031	0.82962	-5.83993	5.33713	7.36351E-3	-3.1847	2.59448
87	Surface 15	27096	9.665	-172.251	-4.6	-588.32	-137.202	3.10248	-5.87466	5.33491	0.0359022	-1.35864	2.59545
88	Surface 15	27383	9.665	-166.683	-3.68	-507.669	-108.123	0.92946	-4.59993	6.77927	5.06023E-3	-2.75403	0.319001
89	Surface 15	27389	9.665	-172.251	-3.68	-506.928	-108.355	3.37447	-4.63089	6.77769	0.0364234	-1.17307	0.31663
90	Surface 15	27605	9.665	-166.683	-2.76	-420.12	-80.845	1.03387	-3.70508	6.088	5.5176E-3	-2.28333	-1.7658
91	Surface 15	27610	9.665	-172.251	-2.76	-419.517	-81.1887	3.61953	-3.73392	6.08393	0.0394324	-0.967467	-1.77371
92	Surface 15	27823	9.665	-166.683	-1.84	-327.279	-53.8412	0.983678	-3.00001	4.10881	0.0146606	-1.76596	-2.47119
93	Surface 15	27830	9.665	-172.251	-1.84	-326.906	-54.3411	3.7644	-3.02801	4.09232	0.0496465	-0.745475	-2.48978
94	Surface 15	28043	9.665	-166.683	-0.92	-230.856	-26.9062	0.671699	-2.29617	1.92114	0.0261842	-1.23257	-2.21914
95	Surface 15	28051	9.665	-172.251	-0.92	-231.198	-27.265	3.14981	-2.31334	1.89972	0.0628349	-0.49713	-2.20215
96	Surface 15	28265	9.665	-166.683	0.0	-133.429	-3.73517	0.355405	-1.3098	1.00903	0.0267258	-0.861481	-1.8998
97	Surface 15	28271	9.665	-172.251	0.0	-135.973	-4.18224	2.40424	-1.34899	0.986432	0.0661976	-0.530493	-1.83414
98	Surface 17	27058	9.665	-159.181	-4.6	-590.288	-136.86	-0.75802	-5.78929	5.34131	0.0172538	0.707568	2.5542
99	Surface 17	27069	9.665	-160.983	-4.6	-590.362	-136.883	-1.52501	-5.79748	5.34058	-52.4959E-6	-0.608029	2.50639
100	Surface 17	27365	9.665	-159.181	-3.68	-508.721	-107.899	-0.822313	-4.55602	6.78319	0.0154036	0.613265	0.28026
101	Surface 17	27372	9.665	-160.983	-3.68	-508.78	-107.922	-1.64363	-4.56253	6.78161	-3.18733E-3	-0.525215	0.229411
102	Surface 17	27586	9.665	-159.181	-2.76	-421.0	-80.5068	-0.909535	-3.66696	6.09488	0.0171548	0.513241	-1.80263
103	Surface 17	27591	9.665	-160.983	-2.76	-421.115	-80.5572	-1.75938	-3.67261	6.09263	-2.86683E-3	-0.43256	-1.85522
104	Surface 17	27807	9.665	-159.181	-1.84	-327.906	-53.3292	-1.00042	-2.96416	4.12823	0.0219698	0.402495	-2.5024
105	Surface 17	27813	9.665	-160.983	-1.84	-327.804	-53.3869	-1.91935	-2.9675	4.12405	2.00191E-3	-0.334004	-2.55845
106	Surface 17	28026	9.665	-159.181	-0.92	-230.821	-26.5354	-1.11329	-2.28093	1.94251	0.0247593	0.290963	-2.27729
107	Surface 17	28031	9.665	-160.983	-0.92	-231.414	-26.7005	-2.15152	-2.27988	1.93873	7.49539E-3	-0.217271	-2.33224
108	Surface 17	28245	9.665	-159.181	0.0	-129.155	-2.87143	-1.23641	-1.25126	1.0349	0.0203545	0.0775154	-1.98735
109	Surface 17	28253	9.665	-160.983	0.0	-127.728	-2.57134	-2.64491	-1.26435	1.03065	1.3506E-3	-0.231777	-2.03953
110	Surface 24	27063	9.665	-20.819	-4.6	-590.296	-136.855	0.770567	-5.80691	5.33752	-0.0192797	-0.70052	2.55289
111	Surface 24	27071	9.665	-19.0166	-4.6	-590.369	-136.879	1.538	-5.81303	5.33708	-2.34872E-3	0.615219	2.50511
112	Surface 24	27370	9.665	-20.819	-3.68	-508.73	-107.896	0.831693	-4.57509	6.77949	-0.0177709	-0.606346	0.27924
113	Surface 24	27375	9.665	-19.0166	-3.68	-508.788	-107.919	1.65342	-4.57955	6.77815	0.456119E-3	0.532301	0.228392
114	Surface 24	27589	9.665	-20.819	-2.76	-421.012	-80.5052	0.915828	-3.68739	6.09154	-0.0199647	-0.506487	-1.80326
115	Surface 24	27594	9.665	-19.0166	-2.76	-421.126	-80.5557	1.76601	-3.69099	6.08949	-0.299913E-3	0.439503	-1.85587
116	Surface 24	27810	9.665	-20.819	-1.84	-327.92	-53.3286	1.00374	-2.98583	4.12569	-0.0253787	-0.39595	-2.5025
117	Surface 24	27814	9.665	-19.0166	-1.84	-327.816	-53.3863	1.9229	-2.98713	4.12162	-5.77279E-3	0.34076	-2.55859
118	Surface 24	28029	9.665	-20.819	-0.92	-230.837	-26.5353	1.11422	-2.30381	1.9411	-0.0281079	-0.284661	-2.27693
119	Surface 24	28036	9.665	-19.0166	-0.92	-231.428	-26.7005	2.15257	-2.3007	1.93733	-0.011132	0.223785	-2.33196
120	Surface 24	28248	9.665	-20.819	0.0	-129.171	-2.87145	1.23629	-1.27446	1.03416	-0.0236001	-0.0601277	-1.98683
121	Surface 24	28255	9.665	-19.0166	0.0	-127.743	-2.57146	2.64479	-1.28551	1.02985	-4.91952E-3	0.250183	-2.03911
122	Surface 26	27090	9.665	-13.3169	-4.6	-589.134	-137.028	-0.815509	-5.84764	5.33486	-0.0110759	3.19208	2.59302
