	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
75	Line 25135	3784	8.9	26.534	-65.7	-102.056	-179.019	119.23	0.0	-12.0672	-0.448111E-3
76	Line 25135	3821	9.665	26.534	-65.7	-102.056	-179.019	119.23	0.0	-12.0672	-0.448111E-3
77	Line 25135	3850	9.665	28.1214	-65.7	-98.4951	-169.133	132.027	0.0	-8.55841	-0.479567E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-107.176	-176.414	176.771	0.0	2.71638	-0.798978E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-98.4951	-169.133	132.027	0.0	-8.55841	-0.479567E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-98.4951	-169.133	132.027	0.0	-8.55841	-0.479567E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-107.176	-176.414	176.771	0.0	2.71638	-0.798978E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-86.1837	-154.72	83.2804	0.0	-12.7161	-0.279423E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-83.8101	-155.481	67.7641	0.0	-4.63945	-1.49997E-6
84	Line 25139	3760	9.665	23.1855	-65.7	-83.8101	-155.481	67.7641	0.0	-4.63945	-1.49997E-6
85	Line 25139	3778	9.665	24.2119	-65.7	-86.1837	-154.72	83.2804	0.0	-12.7161	-0.279423E-3
86	Line 25142	3686	8.9	20.819	-65.7	-109.985	-212.772	35.6239	0.0	-33.668	-46.2969E-6
87	Line 25142	3655	8.9	18.3371	-65.7	-156.097	-350.77	-309.904	0.0	16.1977	-5.57275E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-156.097	-350.77	-309.904	0.0	16.1977	-5.57275E-3
89	Line 25142	3713	9.665	20.819	-65.7	-109.985	-212.772	35.6239	0.0	-33.668	-46.2969E-6
90	Line 25143	3721	8.9	23.1855	-65.7	-83.8101	-155.481	67.7641	0.0	-4.63945	-1.49997E-6
91	Line 25143	3686	8.9	20.819	-65.7	-109.985	-212.772	35.6239	0.0	-33.668	-46.2969E-6
