	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
73	Surface 13	28291	9.665	161.663	0.0	-132.869	-3.61495	-4.91518	-1.2379	1.02818	-0.129566	1.03395	-2.00491
74	Surface 14	27096	9.665	-172.251	-4.6	-588.301	-137.212	3.10227	-5.83542	5.34288	0.036609	-1.35818	2.59769
75	Surface 14	27108	9.665	-180.0	-4.6	-588.126	-137.309	-2.25463	-5.84587	5.34534	-0.0456356	0.450605	2.60155
76	Surface 14	27389	9.665	-172.251	-3.68	-506.906	-108.361	3.37427	-4.58909	6.78534	0.0371259	-1.17265	0.318457
77	Surface 14	27396	9.665	-180.0	-3.68	-506.746	-108.483	-2.43354	-4.59936	6.78701	-0.0493016	0.389497	0.317252
78	Surface 14	27610	9.665	-172.251	-2.76	-419.49	-81.1917	3.61936	-3.68964	6.09075	0.0401128	-0.967095	-1.77258
79	Surface 14	27617	9.665	-180.0	-2.76	-419.366	-81.2985	-2.6164	-3.70127	6.08648	-0.0521804	0.325219	-1.7797
80	Surface 14	27830	9.665	-172.251	-1.84	-326.875	-54.3421	3.76428	-2.98136	4.09745	0.0502858	-0.745131	-2.48971
81	Surface 14	27836	9.665	-180.0	-1.84	-326.904	-54.3962	-2.81126	-2.99385	4.08379	-0.0537918	0.2585	-2.49298
82	Surface 14	28051	9.665	-172.251	-0.92	-231.164	-27.265	3.14975	-2.26436	1.90248	0.0633164	-0.496834	-2.20298
83	Surface 14	28057	9.665	-180.0	-0.92	-231.344	-27.2839	-2.43475	-2.27197	1.88806	-0.0533938	0.159498	-2.18574
84	Surface 14	28271	9.665	-172.251	0.0	-135.939	-4.18224	2.40423	-1.29939	0.98781	0.0665366	-0.531122	-1.83525
85	Surface 14	28275	9.665	-180.0	0.0	-136.063	-4.17452	-1.86911	-1.30315	0.977255	-0.0507536	0.26582	-1.80368
86	Surface 15	27087	9.665	-166.683	-4.6	-589.113	-137.04	0.825152	-5.80089	5.34506	0.0102959	-3.18591	2.59659
87	Surface 15	27096	9.665	-172.251	-4.6	-588.301	-137.212	3.10227	-5.83542	5.34288	0.036609	-1.35818	2.59769
88	Surface 15	27383	9.665	-166.683	-3.68	-507.647	-108.128	0.925659	-4.5584	6.78685	7.99557E-3	-2.75537	0.320713
89	Surface 15	27389	9.665	-172.251	-3.68	-506.906	-108.361	3.37427	-4.58909	6.78534	0.0371259	-1.17265	0.318457
90	Surface 15	27605	9.665	-166.683	-2.76	-420.094	-80.8479	1.03089	-3.66114	6.09475	8.46598E-3	-2.28478	-1.76476
91	Surface 15	27610	9.665	-172.251	-2.76	-419.49	-81.1917	3.61936	-3.68964	6.09075	0.0401128	-0.967095	-1.77258
92	Surface 15	27823	9.665	-166.683	-1.84	-327.249	-53.8422	0.981718	-2.95375	4.11388	0.0176569	-1.76746	-2.47116
93	Surface 15	27830	9.665	-172.251	-1.84	-326.875	-54.3421	3.76428	-2.98136	4.09745	0.0502858	-0.745131	-2.48971
94	Surface 15	28043	9.665	-166.683	-0.92	-230.822	-26.9062	0.670863	-2.24763	1.92388	0.0287398	-1.23413	-2.21997
