	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
45	Surface 12	27856	9.665	159.181	-1.84	-324.116	-53.4991	0.43861	3.98079	4.77696	-1.04629	2.45281	-2.69233
46	Surface 12	28071	9.665	161.663	-0.92	-227.356	-26.8584	-5.5416	5.51641	2.31898	-0.947664	2.23008	-2.49993
47	Surface 12	28076	9.665	159.181	-0.92	-227.85	-26.6484	0.236879	4.81711	2.27323	-0.963494	2.0503	-2.50578
48	Surface 12	28291	9.665	161.663	0.0	-130.556	-3.71766	-4.87432	6.51669	1.21031	-0.865177	4.54682	-2.1926
49	Surface 12	28296	9.665	159.181	0.0	-127.614	-3.10179	0.42455	5.84137	1.19005	-0.876188	4.71286	-2.20051
50	Surface 13	27108	9.665	-180.0	-4.6	-583.814	-137.987	-1.77109	2.90249	6.84937	-0.152917	0.481414	2.78595
51	Surface 13	27116	9.665	173.888	-4.6	-584.356	-138.044	1.03111	2.67611	6.83261	-0.386631	1.08964	2.72391
52	Surface 13	27123	9.665	167.775	-4.6	-584.888	-137.974	1.52803	2.06829	6.73695	-0.610388	2.27489	2.74154
53	Surface 13	27127	9.665	161.663	-4.6	-586.013	-137.719	-3.11244	1.32089	6.61287	-0.847054	4.13677	2.64412
54	Surface 13	27396	9.665	-180.0	-3.68	-502.067	-108.748	-2.00662	4.4037	8.18819	-0.174906	0.440728	0.40963
55	Surface 13	27402	9.665	173.888	-3.68	-502.608	-108.773	0.799228	4.15318	8.16654	-0.407004	1.02022	0.349733
56	Surface 13	27405	9.665	167.775	-3.68	-503.164	-108.678	1.15777	3.51232	8.07368	-0.632838	2.09205	0.381745
57	Surface 13	27410	9.665	161.663	-3.68	-504.255	-108.415	-3.99729	2.73358	7.96111	-0.879034	3.73947	0.301323
58	Surface 13	27617	9.665	-180.0	-2.76	-414.389	-81.3135	-2.27094	5.53933	7.2842	-0.191552	0.396924	-1.81055
59	Surface 13	27622	9.665	173.888	-2.76	-414.912	-81.2731	0.5623	5.26638	7.25896	-0.433533	0.933073	-1.86641
60	Surface 13	27626	9.665	167.775	-2.76	-415.444	-81.1694	0.795485	4.59784	7.18508	-0.670839	1.87562	-1.80991
61	Surface 13	27630	9.665	161.663	-2.76	-416.444	-80.8778	-4.88153	3.79147	7.10059	-0.93219	3.2895	-1.86955
62	Surface 13	27836	9.665	-180.0	-1.84	-321.863	-54.2929	-2.57171	6.4683	4.94159	-0.202545	0.345806	-2.6683
63	Surface 13	27842	9.665	173.888	-1.84	-322.271	-53.9997	0.397777	6.17748	4.92274	-0.474628	0.824965	-2.70846
64	Surface 13	27846	9.665	167.775	-1.84	-322.714	-54.1804	0.553804	5.48143	4.88362	-0.738055	1.6239	-2.64249
65	Surface 13	27851	9.665	161.663	-1.84	-323.378	-53.7847	-5.64375	4.65099	4.8517	-1.02068	2.79039	-2.67786
66	Surface 13	28057	9.665	-180.0	-0.92	-226.774	-27.1634	-2.31148	7.41711	2.32431	-0.180921	0.255985	-2.42879
67	Surface 13	28061	9.665	173.888	-0.92	-227.128	-26.9244	0.266275	7.10575	2.31747	-0.432517	0.722384	-2.47062
68	Surface 13	28065	9.665	167.775	-0.92	-226.835	-27.094	0.390722	6.38144	2.30926	-0.677914	1.38369	-2.42544
69	Surface 13	28071	9.665	161.663	-0.92	-227.356	-26.8584	-5.5416	5.51641	2.31898	-0.947664	2.23008	-2.49993
70	Surface 13	28275	9.665	-180.0	0.0	-133.043	-4.29279	-1.81076	8.42169	1.18295	-0.158036	0.704414	-2.03968
71	Surface 13	28282	9.665	173.888	0.0	-130.963	-3.8293	0.183175	8.12458	1.18596	-0.385302	1.92607	-2.10749
72	Surface 13	28286	9.665	167.775	0.0	-132.98	-4.30807	0.259472	7.37515	1.18648	-0.60687	3.22446	-2.06533
73	Surface 13	28291	9.665	161.663	0.0	-130.556	-3.71766	-4.87432	6.51669	1.21031	-0.865177	4.54682	-2.1926
74	Surface 14	27096	9.665	-172.251	-4.6	-584.068	-137.53	3.04997	2.7402	6.7755	0.233892	-1.7438	2.80574
75	Surface 14	27108	9.665	-180.0	-4.6	-583.814	-137.987	-1.77109	2.90249	6.84937	-0.152917	0.481414	2.78595
76	Surface 14	27389	9.665	-172.251	-3.68	-502.271	-108.32	3.45743	4.25831	8.12961	0.218132	-1.53765	0.443319
77	Surface 14	27396	9.665	-180.0	-3.68	-502.067	-108.748	-2.00662	4.4037	8.18819	-0.174906	0.440728	0.40963
78	Surface 14	27610	9.665	-172.251	-2.76	-414.499	-80.9773	3.7936	5.41252	7.25232	0.217294	-1.30243	-1.76766
79	Surface 14	27617	9.665	-180.0	-2.76	-414.389	-81.3135	-2.27094	5.53933	7.2842	-0.191552	0.396924	-1.81055
80	Surface 14	27830	9.665	-172.251	-1.84	-321.746	-54.0997	3.95378	6.35715	4.94045	0.240581	-1.04735	-2.63547
81	Surface 14	27836	9.665	-180.0	-1.84	-321.863	-54.2929	-2.57171	6.4683	4.94159	-0.202545	0.345806	-2.6683
82	Surface 14	28051	9.665	-172.251	-0.92	-226.446	-27.0822	3.26778	7.31172	2.33718	0.238245	-0.778832	-2.43163
83	Surface 14	28057	9.665	-180.0	-0.92	-226.774	-27.1634	-2.31148	7.41711	2.32431	-0.180921	0.255985	-2.42879
84	Surface 14	28271	9.665	-172.251	0.0	-132.801	-4.27838	2.46458	8.31495	1.19507	0.227293	-1.34704	-2.06595
85	Surface 14	28275	9.665	-180.0	0.0	-133.043	-4.29279	-1.81076	8.42169	1.18295	-0.158036	0.704414	-2.03968
