	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
44	Surface 12	27851	9.665	161.663	-1.84	-310.229	-52.5873	-0.958148	25.6503	6.8514	-3.07465	4.43785	-2.73924
45	Surface 12	27856	9.665	159.181	-1.84	-312.29	-52.4199	4.84622	23.914	6.65646	-3.49229	4.54291	-2.78562
46	Surface 12	28071	9.665	161.663	-0.92	-214.689	-26.157	-3.01178	27.2888	3.42549	-2.73545	4.01911	-2.9209
47	Surface 12	28076	9.665	159.181	-0.92	-216.878	-26.0576	2.41682	25.4262	3.29247	-3.11695	4.24393	-2.91839
48	Surface 12	28291	9.665	161.663	0.0	-121.421	-3.80954	-3.70059	28.4389	1.77512	-2.41259	11.4075	-2.70338
49	Surface 12	28296	9.665	159.181	0.0	-120.649	-3.33215	1.24581	26.5681	1.70026	-2.76856	13.1935	-2.67967
50	Surface 13	27108	9.665	-180.0	-4.6	-575.157	-139.201	3.48751	20.6686	8.34612	1.52126	-1.35865	4.59989
51	Surface 13	27116	9.665	173.888	-4.6	-574.544	-137.652	8.11767	21.6453	8.87751	-1.70324E-3	0.323785	4.32647
52	Surface 13	27123	9.665	167.775	-4.6	-574.885	-136.645	9.50875	21.0428	9.09847	-1.33001	2.46361	4.09289
53	Surface 13	27127	9.665	161.663	-4.6	-576.311	-135.835	5.21568	19.6916	9.14684	-2.4301	5.06059	3.69308
54	Surface 13	27396	9.665	-180.0	-3.68	-490.543	-108.514	4.20695	23.7246	10.1257	1.25628	-1.19715	2.138
55	Surface 13	27402	9.665	173.888	-3.68	-490.494	-107.585	8.08062	24.4833	10.5612	-0.256297	0.510386	1.77538
56	Surface 13	27405	9.665	167.775	-3.68	-491.392	-107.003	8.75387	23.6329	10.6821	-1.56775	2.55012	1.50288
57	Surface 13	27410	9.665	161.663	-3.68	-493.205	-106.485	3.55625	22.0589	10.6482	-2.65725	4.92583	1.10669
58	Surface 13	27617	9.665	-180.0	-2.76	-399.401	-80.4015	4.18176	26.3705	9.45991	1.07553	-0.945059	-0.434207
59	Surface 13	27622	9.665	173.888	-2.76	-400.228	-79.8795	7.4082	26.8882	9.74229	-0.440952	0.726252	-0.837263
60	Surface 13	27626	9.665	167.775	-2.76	-401.842	-79.5828	7.48226	25.7866	9.75256	-1.75792	2.61707	-1.09496
61	Surface 13	27630	9.665	161.663	-2.76	-404.102	-79.2109	1.48386	23.9941	9.65507	-2.86019	4.7305	-1.43867
62	Surface 13	27836	9.665	-180.0	-1.84	-303.093	-53.3162	3.15193	28.717	6.87458	1.02037	-0.659878	-1.97379
63	Surface 13	27842	9.665	173.888	-1.84	-305.119	-52.85	5.988	28.9932	7.00488	-0.553131	0.91743	-2.32218
64	Surface 13	27846	9.665	167.775	-1.84	-307.628	-52.9845	5.66722	27.6491	6.94299	-1.92316	2.61847	-2.51166
65	Surface 13	27851	9.665	161.663	-1.84	-310.229	-52.5873	-0.958148	25.6503	6.8514	-3.07465	4.43785	-2.73924
66	Surface 13	28057	9.665	-180.0	-0.92	-204.743	-26.4852	1.2638	31.0093	3.49098	0.884665	-0.470361	-2.48602
67	Surface 13	28061	9.665	173.888	-0.92	-208.47	-26.2066	3.53244	31.0625	3.52164	-0.503473	1.04177	-2.70567
68	Surface 13	28065	9.665	167.775	-0.92	-211.479	-26.3835	3.17921	29.4813	3.46047	-1.71345	2.55753	-2.7774
69	Surface 13	28071	9.665	161.663	-0.92	-214.689	-26.157	-3.01178	27.2888	3.42549	-2.73545	4.01911	-2.9209
70	Surface 13	28275	9.665	-180.0	0.0	-110.345	-3.94425	0.0754447	32.3799	1.80576	0.761956	-3.132	-2.42019
71	Surface 13	28282	9.665	173.888	0.0	-113.766	-3.69186	1.80138	32.359	1.80873	-0.451239	2.45803	-2.57904
72	Surface 13	28286	9.665	167.775	0.0	-120.259	-4.29545	1.54514	30.6864	1.77337	-1.50322	7.37512	-2.56616
73	Surface 13	28291	9.665	161.663	0.0	-121.421	-3.80954	-3.70059	28.4389	1.77512	-2.41259	11.4075	-2.70338
74	Surface 14	27096	9.665	-172.251	-4.6	-577.841	-142.119	5.55696	18.1066	7.44095	3.54008	-4.62507	4.71373
75	Surface 14	27108	9.665	-180.0	-4.6	-575.157	-139.201	3.48751	20.6686	8.34612	1.52126	-1.35865	4.59989
76	Surface 14	27389	9.665	-172.251	-3.68	-492.611	-110.264	8.01547	21.3245	9.29827	3.3022	-4.31922	2.45249
77	Surface 14	27396	9.665	-180.0	-3.68	-490.543	-108.514	4.20695	23.7246	10.1257	1.25628	-1.19715	2.138
78	Surface 14	27610	9.665	-172.251	-2.76	-400.343	-81.3266	9.64737	24.1888	8.85349	3.14201	-3.8274	0.0358238
79	Surface 14	27617	9.665	-180.0	-2.76	-399.401	-80.4015	4.18176	26.3705	9.45991	1.07553	-0.945059	-0.434207
80	Surface 14	27830	9.665	-172.251	-1.84	-302.137	-53.7524	9.94693	26.7758	6.56661	3.14198	-3.20178	-1.48233
81	Surface 14	27836	9.665	-180.0	-1.84	-303.093	-53.3162	3.15193	28.717	6.87458	1.02037	-0.659878	-1.97379
82	Surface 14	28051	9.665	-172.251	-0.92	-201.148	-26.6474	7.41991	29.2939	3.41314	2.72666	-2.59496	-2.18756
83	Surface 14	28057	9.665	-180.0	-0.92	-204.743	-26.4852	1.2638	31.0093	3.49098	0.884665	-0.470361	-2.48602
84	Surface 14	28271	9.665	-172.251	0.0	-103.624	-3.66855	4.8579	30.7641	1.80179	2.34539	-10.0659	-2.27453
85	Surface 14	28275	9.665	-180.0	0.0	-110.345	-3.94425	0.0754447	32.3799	1.80576	0.761956	-3.132	-2.42019
86	Surface 15	27087	9.665	-166.683	-4.6	-582.039	-145.505	-1.05982	14.6241	6.57002	5.10296	-7.6777	4.5986
87	Surface 15	27096	9.665	-172.251	-4.6	-577.841	-142.119	5.55696	18.1066	7.44095	3.54008	-4.62507	4.71373
88	Surface 15	27383	9.665	-166.683	-3.68	-496.413	-112.365	2.44072	17.8861	8.41745	4.91445	-7.28354	2.53904
89	Surface 15	27389	9.665	-172.251	-3.68	-492.611	-110.264	8.01547	21.3245	9.29827	3.3022	-4.31922	2.45249
90	Surface 15	27605	9.665	-166.683	-2.76	-403.073	-82.3006	5.23912	20.8667	8.114	4.77489	-6.60714	0.319468
91	Surface 15	27610	9.665	-172.251	-2.76	-400.343	-81.3266	9.64737	24.1888	8.85349	3.14201	-3.8274	0.0358238
92	Surface 15	27823	9.665	-166.683	-1.84	-302.833	-53.8467	6.5896	23.6132	6.09692	4.8147	-5.66213	-1.07506
93	Surface 15	27830	9.665	-172.251	-1.84	-302.137	-53.7524	9.94693	26.7758	6.56661	3.14198	-3.20178	-1.48233
94	Surface 15	28043	9.665	-166.683	-0.92	-198.242	-26.5022	5.13694	26.3021	3.23787	4.18103	-4.67798	-1.88585
95	Surface 15	28051	9.665	-172.251	-0.92	-201.148	-26.6474	7.41991	29.2939	3.41314	2.72666	-2.59496	-2.18756
96	Surface 15	28265	9.665	-166.683	0.0	-94.7586	-2.92183	3.18577	27.8974	1.76865	3.59939	-16.0426	-2.11911
97	Surface 15	28271	9.665	-172.251	0.0	-103.624	-3.66855	4.8579	30.7641	1.80179	2.34539	-10.0659	-2.27453
98	Surface 17	27058	9.665	-159.181	-4.6	-589.492	-152.93	-10.742	8.25404	5.31537	7.11852	-5.08779	4.03768
99	Surface 17	27069	9.665	-160.983	-4.6	-588.001	-150.782	-9.4846	9.84266	5.58878	6.66412	-6.2034	4.14942
100	Surface 17	27365	9.665	-159.181	-3.68	-503.922	-117.434	-5.72051	11.3625	7.01113	7.08335	-5.57664	2.2764
101	Surface 17	27372	9.665	-160.983	-3.68	-502.268	-115.917	-4.87888	13.0218	7.33785	6.58854	-6.42534	2.2894
102	Surface 17	27586	9.665	-159.181	-2.76	-409.496	-85.1296	-0.967409	14.3272	6.81474	7.02339	-5.76587	0.420025
103	Surface 17	27591	9.665	-160.983	-2.76	-408.015	-84.2507	-0.663861	16.0223	7.13131	6.50799	-6.33619	0.315944
104	Surface 17	27807	9.665	-159.181	-1.84	-306.412	-54.7952	2.69071	17.1579	5.18577	7.11776	-5.60526	-0.667887
105	Surface 17	27813	9.665	-160.983	-1.84	-305.236	-54.4194	2.33232	18.8539	5.41182	6.59465	-5.90915	-0.878431
106	Surface 17	28026	9.665	-159.181	-0.92	-196.309	-26.5948	3.22295	19.9544	2.82213	6.17414	-5.21648	-1.50004
107	Surface 17	28031	9.665	-160.983	-0.92	-197.058	-26.6009	2.29155	21.6692	2.91609	5.71663	-5.27924	-1.72974
108	Surface 17	28245	9.665	-159.181	0.0	-80.6706	-1.26306	2.048	21.7066	1.60858	5.34451	-22.9443	-1.86942
109	Surface 17	28253	9.665	-160.983	0.0	-81.1846	-1.06402	0.477043	23.3674	1.62188	5.007	-21.5751	-2.07436
110	Surface 24	27063	9.665	-20.819	-4.6	-580.113	-134.881	2.9722	15.2738	9.17171	0.988115	0.874682	2.62856
111	Surface 24	27071	9.665	-19.0166	-4.6	-580.087	-135.442	3.77846	15.684	9.27114	1.1047	1.97733	2.5598
112	Surface 24	27370	9.665	-20.819	-3.68	-498.454	-106.169	2.81499	16.7816	10.2372	0.996736	0.879323	0.0756342
113	Surface 24	27375	9.665	-19.0166	-3.68	-498.405	-106.575	3.71331	17.1859	10.3109	1.10895	1.81795	8.49452E-3
114	Surface 24	27589	9.665	-20.819	-2.76	-411.131	-79.1627	2.58753	17.8793	8.9213	0.943138	0.906428	-2.30132
115	Surface 24	27594	9.665	-19.0166	-2.76	-411.101	-79.4589	3.54249	18.282	8.97095	1.05909	1.66658	-2.36552
116	Surface 24	27810	9.665	-20.819	-1.84	-319.404	-52.458	2.27141	18.7482	6.0533	0.828147	0.954055	-3.24945
117	Surface 24	27814	9.665	-19.0166	-1.84	-319.154	-52.6443	3.29624	19.1529	6.0782	0.955346	1.5251	-3.31311
118	Surface 24	28029	9.665	-20.819	-0.92	-225.58	-26.0589	1.834	19.6275	2.87631	0.577158	1.01833	-2.99443
119	Surface 24	28036	9.665	-19.0166	-0.92	-225.914	-26.2637	2.91548	20.0449	2.88477	0.699007	1.38621	-3.05062
120	Surface 24	28248	9.665	-20.819	0.0	-130.801	-3.4676	1.57199	20.6041	1.46069	0.347364	0.201837	-2.57323
121	Surface 24	28255	9.665	-19.0166	0.0	-129.168	-3.20493	2.93297	21.0107	1.46222	0.449327	0.059958	-2.62209
122	Surface 26	27090	9.665	-13.3169	-4.6	-578.735	-137.102	1.11832	16.3854	9.46382	1.40721	3.64206	2.5521
123	Surface 26	27104	9.665	-7.74887	-4.6	-578.088	-138.45	-1.87055	16.2962	9.47483	1.67826	0.978411	2.51336
