	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
62	Line 25128	3400	8.9	-18.3371	-65.7	34.5457	-0.863169	-222.944	0.0	-107.66	-3.43983E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	34.5457	-0.863169	-222.944	0.0	-107.66	-3.43983E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	52.2986	1.01237	-438.543	0.0	-789.51	2.71621E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	52.2986	1.01237	-438.543	0.0	-789.51	2.71621E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	52.2986	1.01237	-438.543	0.0	-789.51	2.71621E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	52.2986	1.01237	-438.543	0.0	-789.51	2.71621E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	63.174	5.1295	-560.194	0.0	-900.282	-1.67232E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	63.174	5.1295	-560.194	0.0	-900.282	-1.67232E-3
70	Line 25134	3784	8.9	26.534	-65.7	20.8239	1.12651	-177.551	0.0	-296.019	3.74293E-3
71	Line 25134	3741	8.9	24.2119	-65.7	18.8136	0.4865	-145.723	0.0	-171.698	0.919581E-3
72	Line 25134	3778	9.665	24.2119	-65.7	18.8136	0.4865	-145.723	0.0	-171.698	0.919581E-3
73	Line 25134	3821	9.665	26.534	-65.7	20.8239	1.12651	-177.551	0.0	-296.019	3.74293E-3
74	Line 25135	3801	8.9	28.1214	-65.7	19.8767	1.50156	-177.042	0.0	-239.4	3.02652E-3
75	Line 25135	3784	8.9	26.534	-65.7	20.8239	1.12651	-177.551	0.0	-296.019	3.74293E-3
76	Line 25135	3821	9.665	26.534	-65.7	20.8239	1.12651	-177.551	0.0	-296.019	3.74293E-3
77	Line 25135	3850	9.665	28.1214	-65.7	19.8767	1.50156	-177.042	0.0	-239.4	3.02652E-3
78	Line 25136	3843	8.9	30.3724	-65.7	22.8471	2.35486	-210.33	0.0	-319.068	3.37293E-3
79	Line 25136	3801	8.9	28.1214	-65.7	19.8767	1.50156	-177.042	0.0	-239.4	3.02652E-3
80	Line 25136	3850	9.665	28.1214	-65.7	19.8767	1.50156	-177.042	0.0	-239.4	3.02652E-3
81	Line 25136	3882	9.665	30.3724	-65.7	22.8471	2.35486	-210.33	0.0	-319.068	3.37293E-3
82	Line 25139	3741	8.9	24.2119	-65.7	18.8136	0.4865	-145.723	0.0	-171.698	0.919581E-3
83	Line 25139	3721	8.9	23.1855	-65.7	20.117	0.239723	-145.713	0.0	-142.347	0.817981E-3
84	Line 25139	3760	9.665	23.1855	-65.7	20.117	0.239723	-145.713	0.0	-142.347	0.817981E-3
85	Line 25139	3778	9.665	24.2119	-65.7	18.8136	0.4865	-145.723	0.0	-171.698	0.919581E-3
86	Line 25142	3686	8.9	20.819	-65.7	29.6935	2.59513E-3	-213.394	0.0	-389.669	-3.56764E-3
87	Line 25142	3655	8.9	18.3371	-65.7	69.0644	0.620841	-376.364	0.0	-450.558	0.0143645
88	Line 25142	3676	9.665	18.3371	-65.7	69.0644	0.620841	-376.364	0.0	-450.558	0.0143645
89	Line 25142	3713	9.665	20.819	-65.7	29.6935	2.59513E-3	-213.394	0.0	-389.669	-3.56764E-3
90	Line 25143	3721	8.9	23.1855	-65.7	20.117	0.239723	-145.713	0.0	-142.347	0.817981E-3
91	Line 25143	3686	8.9	20.819	-65.7	29.6935	2.59513E-3	-213.394	0.0	-389.669	-3.56764E-3
92	Line 25143	3713	9.665	20.819	-65.7	29.6935	2.59513E-3	-213.394	0.0	-389.669	-3.56764E-3
93	Line 25143	3760	9.665	23.1855	-65.7	20.117	0.239723	-145.713	0.0	-142.347	0.817981E-3
94	Line 25144	3288	8.9	-155.08	-65.7	16.063	-1.35024	-153.103	0.0	-235.944	2.42125E-3
95	Line 25144	3247	9.665	-155.08	-65.7	16.063	-1.35024	-153.103	0.0	-235.944	2.42125E-3
96	Line 25144	3259	8.9	-153.479	-65.7	30.7558	-1.68214	-298.162	0.0	-357.027	3.61559E-3
97	Line 25144	3218	9.665	-153.479	-65.7	30.7558	-1.68214	-298.162	0.0	-357.027	3.61559E-3
98	Line 25144	3232	8.9	-151.879	-65.7	32.2483	-0.586271	-314.581	0.0	-281.321	-1.3701E-3
99	Line 25144	3196	9.665	-151.879	-65.7	32.2483	-0.586271	-314.581	0.0	-281.321	-1.3701E-3
100	Line 25145	3232	8.9	-151.879	-65.7	32.2483	-0.586271	-314.581	0.0	-281.321	-1.3701E-3
101	Line 25145	3177	8.9	-146.948	-65.7	100.211	0.442909	-923.21	0.0	-1.41098E3	3.97672E-3
